WL,Beta25ME,Beta30ME,Beta35ME,Beta40ME,Beta45 ME,Beta50ME,Beta55ME,Beta60ME,Beta65ME,Beta70ME,Beta75ME,Beta80ME,Beta85ME,Beta90ME
236.7,-1546638.853,-1644763.147,-1671178.702,-1580944.458,-1638846.604,-1652378.657,-1617227.548,-1609331.53,-1880390.368,-1733113.408,-1750200.559,-1638094.603,-1751145.535,-1677433.446
236.6,-1580962.362,-1679952.055,-1698191.082,-1616195.038,-1661219.652,-1690211.508,-1665490.942,-1631115.708,-1919420.851,-1750248.305,-1777976.879,-1667862.334,-1763080.082,-1708842.451
236.5,-1615098.866,-1711939.983,-1725292.987,-1654752.039,-1687042.358,-1728147.809,-1713734.442,-1656498.752,-1957168.157,-1769493.98,-1803570.801,-1700634.094,-1776870.76,-1740207.689
236.4,-1652350.805,-1747395.473,-1752745.031,-1694787.18,-1714981.81,-1769068.244,-1762343.995,-1687969.429,-1992466.483,-1791495.006,-1828464.447,-1736025.923,-1792149.526,-1770659.782
236.3,-1689332.183,-1784874.207,-1780853.584,-1734905.878,-1745501.543,-1812511.267,-1811142.544,-1721628.471,-2028216.409,-1824260.797,-1857537.87,-1774256.658,-1811731.413,-1800443.429
236.2,-1726717.414,-1823550.573,-1810679.008,-1779081.008,-1775631.349,-1857943.712,-1857623.415,-1758878.421,-2060524.633,-1862485.564,-1888682.282,-1815905.222,-1836869.758,-1829743.646
236.1,-1769871.971,-1857261.34,-1842414.279,-1827008.19,-1808615.977,-1905005.495,-1905731.634,-1798316.736,-2090942.905,-1900738.183,-1917692.043,-1858041.194,-1868316.562,-1859523.314
236,-1813149.871,-1892058.332,-1873831.241,-1875824.643,-1842915.613,-1952445.268,-1954432.701,-1842448.099,-2117581.275,-1941240.839,-1945957.76,-1901207.687,-1902033.297,-1894736.095
235.9,-1857860.156,-1930074.21,-1903789.957,-1925615.913,-1879031.592,-1999807.453,-2001279.626,-1885930.91,-2142548.529,-1981421.209,-1975958.254,-1942818.451,-1937269.951,-1933866.049
235.8,-1908307.936,-1969972.081,-1932085.516,-1976553.091,-1913552.054,-2043634.434,-2048528.414,-1929059.604,-2167137.793,-2019303.795,-2007824.826,-1985746.214,-1975005.321,-1972980.088
235.7,-1962696.763,-2013196.268,-1963651.685,-2029609.005,-1951985.711,-2089530.415,-2095836.885,-1971975.43,-2185360.905,-2060524.633,-2040471.252,-2030683.293,-2017294.478,-2012738.7
235.6,-2017214.901,-2057003.355,-1993142.887,-2080140.34,-1992386.906,-2135864.069,-2141732.866,-2018667.18,-2202867.825,-2106977.652,-2074530.168,-2073435.986,-2060763.363,-2056744.73
235.5,-2072321.909,-2104152.672,-2026406.034,-2129458.128,-2034403.513,-2180407.243,-2187549.27,-2066492.901,-2216674.418,-2153530.142,-2112448.564,-2115711.218,-2101128.749,-2101844.942
235.4,-2125578.754,-2153808.662,-2059748.758,-2180626.079,-2079861.821,-2223418.561,-2228790.002,-2115213.862,-2230699.848,-2204021.69,-2150366.96,-2159180.103,-2142787.26,-2146945.153
235.3,-2177283.849,-2203564.123,-2095896.568,-2228730.319,-2124663.62,-2267345.013,-2272079.839,-2163676.198,-2244685.489,-2256582.237,-2189180.597,-2202151.632,-2188723.029,-2189419.327
235.2,-2225825.762,-2252961.487,-2133715.493,-2277988.424,-2170042.351,-2308943.841,-2315230.417,-2211223.4,-2261714.947,-2303811.131,-2229247.569,-2247072.796,-2238498.385,-2236091.183
235.1,-2269135.494,-2299076.305,-2169584.783,-2325117.847,-2213909.12,-2349647.429,-2356510.937,-2249758.517,-2279739.116,-2350025.419,-2268041.311,-2292550.998,-2290322.845,-2280753.722
235,-2310694.533,-2347817.16,-2207324.131,-2372545.684,-2254791.756,-2390351.017,-2396856.429,-2289785.701,-2299414.507,-2392897.478,-2310236.966,-2335681.682,-2342127.411,-2326410.972
234.9,-2353984.37,-2398666.803,-2244685.489,-2420431.087,-2292670.364,-2429841.057,-2438176.738,-2329852.673,-2319209.262,-2433680.642,-2351238.967,-2375927.702,-2392897.478,-2376763.26
234.8,-2398089.871,-2449615.918,-2285369.183,-2462527.271,-2329892.462,-2471618.933,-2477129.633,-2367214.031,-2339958.941,-2471738.298,-2392837.795,-2413289.06,-2443767.015,-2428468.355
234.7,-2439310.709,-2500366.09,-2324600.598,-2504325.041,-2365901.012,-2515744.327,-2516142.212,-2403520.995,-2362001.744,-2507607.589,-2435729.748,-2449556.235,-2494875.284,-2479477.152
234.6,-2478522.229,-2548947.792,-2363812.118,-2547435.83,-2397194.631,-2561302.106,-2551534.041,-2442831.987,-2383507.403,-2536533.794,-2478920.114,-2482441.392,-2541805.764,-2529610.603
234.5,-2517415.442,-2597569.282,-2402864.485,-2584359.515,-2431333.124,-2605308.136,-2590387.466,-2480670.806,-2405729.254,-2561242.424,-2521095.874,-2513317.232,-2581713.583,-2576819.603
234.4,-2552528.752,-2646290.243,-2442215.266,-2617662.451,-2463382.723,-2651124.54,-2631787.352,-2520538.836,-2432825.191,-2586567.774,-2562257.029,-2541845.553,-2616289.749,-2619353.46
234.3,-2588477.62,-2694911.733,-2484152.295,-2649155.011,-2495790.418,-2694474.06,-2672391.468,-2556248.973,-2466386.751,-2608312.164,-2605845.28,-2569100.643,-2648677.55,-2658883.288
234.2,-2624545.853,-2741424.435,-2530645.103,-2682000.38,-2529312.19,-2738599.454,-2714527.44,-2593650.119,-2497799.735,-2632901.428,-2649174.906,-2599180.714,-2677961.852,-2691828.128
234.1,-2657948.26,-2788434.492,-2577555.69,-2718008.93,-2561958.616,-2782267.282,-2757737.701,-2631488.938,-2532714.103,-2659002.654,-2687292.244,-2629738.246,-2706828.374,-2722127.035
234,-2691489.926,-2835166.031,-2626594.958,-2752843.721,-2599419.445,-2826929.821,-2801246.374,-2673107.66,-2574869.969,-2686337.321,-2726085.986,-2660594.192,-2734899.128,-2751809.221
233.9,-2725111.169,-2878754.281,-2675534.756,-2787380.098,-2636144.187,-2871652.042,-2843083.933,-2711961.085,-2618557.691,-2718386.92,-2764660.891,-2692027.07,-2764999.093,-2779899.869
233.8,-2761577.286,-2919318.61,-2723440.054,-2826710.984,-2674520.15,-2916891.514,-2884523.607,-2753957.797,-2665607.537,-2751829.115,-2797764.885,-2725190.746,-2795317.895,-2805583.316
233.7,-2799993.038,-2958470.448,-2771345.352,-2866917.216,-2715780.776,-2961375.005,-2924809.416,-2799376.317,-2716656.122,-2786584.329,-2827327.705,-2757936.643,-2823925.793,-2832221.685
233.6,-2836697.886,-2999731.074,-2818355.409,-2907322.391,-2758752.306,-3003252.352,-2963821.995,-2844098.538,-2771325.457,-2822791.822,-2854901.104,-2789508.781,-2846068.067,-2861048.42
233.5,-2876705.176,-3043856.468,-2869682.514,-2948881.43,-2804210.614,-3042981.122,-2999989.699,-2888681.5,-2827785.273,-2860013.92,-2882633.656,-2818514.563,-2868210.341,-2889775.683
233.4,-2920969.83,-3089434.142,-2923575.974,-2993165.979,-2851996.546,-3078631.577,-3035600.364,-2938377.279,-2884404.242,-2895505.22,-2911957.746,-2849131.778,-2892182.884,-2919756.283
233.3,-2964836.6,-3136066.209,-2979797.059,-3035958.46,-2902527.882,-3113585.733,-3069340.973,-2988291.893,-2939531.144,-2936109.337,-2943509.989,-2878097.772,-2920969.83,-2950492.863
233.2,-3007808.13,-3180589.488,-3035978.355,-3075945.856,-2953278.054,-3144620.727,-3100674.38,-3037191.903,-2996428.632,-2979041.078,-2980015.895,-2910266.736,-2950094.978,-2980871.347
233.1,-3053604.64,-3226604.835,-3092040.285,-3115913.357,-3002118.381,-3170582.692,-3135827.478,-3082013.595,-3051277.015,-3022151.867,-3019207.522,-2945021.95,-2979160.443,-3010812.158
233,-3096397.121,-3270909.277,-3150290.581,-3155383.503,-3048889.708,-3193361.582,-3169727.241,-3124308.721,-3107657.253,-3064606.147,-3057722.744,-2983815.692,-3008106.543,-3042583.238
232.9,-3139308.968,-3314557.211,-3208302.146,-3195052.591,-3094487.275,-3213892.424,-3207426.8,-3164316.011,-3165808.078,-3108592.282,-3099480.726,-3027025.953,-3041329.902,-3072583.732
232.8,-3180470.123,-3350506.078,-3267029.903,-3236850.361,-3137299.651,-3230086.324,-3241187.303,-3203965.205,-3220139.211,-3150708.36,-3143188.342,-3072921.934,-3076801.308,-3105289.84
232.7,-3220417.73,-3385798.436,-3324325.276,-3277136.17,-3180649.171,-3247334.619,-3271525.998,-3242261.591,-3271744.835,-3196922.648,-3187870.775,-3116510.184,-3115575.156,-3140681.67
232.6,-3261917.087,-3420732.698,-3382356.735,-3319789.392,-3223063.662,-3265199.634,-3303197.607,-3285054.073,-3317203.143,-3244469.85,-3235895.438,-3156477.686,-3154408.686,-3178679.643
232.5,-3298800.983,-3452523.673,-3435195.801,-3358901.442,-3267248.74,-3284417.457,-3333158.313,-3326672.795,-3358225.038,-3292136.417,-3283562.006,-3196226.35,-3193858.938,-3218388.519
232.4,-3336182.235,-3481609.032,-3484453.906,-3394532.002,-3309822.385,-3305982.799,-3358563.24,-3367853.844,-3395188.511,-3335485.937,-3335187.524,-3236691.208,-3236193.852,-3255710.088
232.3,-3374040.948,-3509301.796,-3531503.753,-3432510.081,-3352276.664,-3328960.631,-3383291.764,-3408577.326,-3427815.043,-3376567.515,-3385440.34,-3276917.334,-3276519.449,-3290485.196
232.2,-3411959.344,-3538068.847,-3579289.685,-3468498.737,-3391567.762,-3351640.049,-3408716.586,-3444068.626,-3460023.796,-3416992.584,-3433524.686,-3315949.807,-3313244.192,-3322892.892
232.1,-3451528.961,-3566995.053,-3628070.329,-3500568.23,-3430799.177,-3375771.746,-3436190.513,-3473949.755,-3492371.809,-3460560.94,-3482623.638,-3354504.818,-3351023.328,-3351520.684
232,-3489725.877,-3595423.903,-3674563.136,-3534647.04,-3466648.574,-3403941.971,-3463744.016,-3504288.45,-3520203.832,-3501125.268,-3529574.013,-3393020.041,-3389180.455,-3376189.525
231.9,-3531802.166,-3622042.378,-3719703.137,-3571152.946,-3504765.912,-3434340.349,-3491615.828,-3534428.204,-3544753.307,-3539421.655,-3576882.484,-3430719.6,-3428889.331,-3402091.808
231.8,-3576564.176,-3645975.133,-3761819.215,-3612015.688,-3545549.077,-3470329.006,-3523844.475,-3570178.129,-3568805.428,-3578294.974,-3623295.714,-3471025.303,-3468260.006,-3425547.101
231.7,-3622619.311,-3671360.166,-3798245.544,-3654867.852,-3590629.394,-3510555.132,-3557724.343,-3609051.448,-3595145.384,-3619217.398,-3669390.638,-3511529.949,-3513041.91,-3445321.963
231.6,-3670425.137,-3695909.642,-3832145.306,-3698834.093,-3641717.768,-3555555.873,-3594986.23,-3645696.614,-3622778.464,-3661950.197,-3711606.187,-3553327.719,-3557784.026,-3466330.266
231.5,-3721453.829,-3724656.799,-3862722.732,-3742740.651,-3690319.364,-3606703.929,-3630954.992,-3676890.761,-3649038.844,-3704523.842,-3749524.583,-3595702.422,-3602744.978,-3488432.752
231.4,-3771229.184,-3755293.908,-3895249.793,-3788517.267,-3741427.632,-3662547.024,-3670146.618,-3713615.503,-3679158.703,-3750240.775,-3781474.711,-3635848.971,-3644244.335,-3510455.661
231.3,-3817542.944,-3788477.478,-3931397.603,-3832781.921,-3798543.957,-3723701.876,-3709895.283,-3754219.62,-3711447.033,-3794366.169,-3813583.992,-3675856.261,-3685007.605,-3529772.955
231.2,-3868531.846,-3825003.279,-3969017.585,-3878478.96,-3857848.647,-3785533.133,-3751235.486,-3794147.333,-3743377.267,-3836621.507,-3842729.034,-3712640.686,-3726566.645,-3551756.075
231.1,-3922962.451,-3869446.981,-4008626.991,-3925668.065,-3921649.432,-3853432.128,-3792695.054,-3831727.527,-3777157.663,-3878359.594,-3870859.471,-3746102.776,-3768961.242,-3577897.089
231,-3982466.083,-3918227.625,-4044953.849,-3972001.719,-3985370.64,-3923718.431,-3840918.66,-3869168.462,-3812847.906,-3917372.173,-3897537.629,-3783503.922,-3811415.522,-3605092.497
230.9,-4044138.185,-3967664.778,-4079052.553,-4019568.815,-4043382.205,-3994362.83,-3891847.88,-3904082.83,-3848836.562,-3955787.925,-3920197.153,-3825043.067,-3853332.657,-3632228.222
230.8,-4108157.807,-4021498.555,-4112474.854,-4067732.738,-4100538.318,-4066200.883,-3949421.772,-3935973.275,-3884327.862,-3990861.446,-3942737.312,-3873823.711,-3893658.255,-3657215.371
230.7,-4171162.823,-4079947.793,-4146812.289,-4115120.786,-4154491.461,-4140028.358,-4013341.922,-3967008.268,-3924593.777,-4026830.208,-3961278.731,-3919282.019,-3933287.554,-3683893.529
230.6,-4232715.56,-4141420.954,-4183238.618,-4158569.777,-4209936.67,-4211985.776,-4078117.524,-3999714.377,-3966292.076,-4060053.567,-3979999.198,-3965416.73,-3972160.873,-3714291.907
230.5,-4294507.028,-4203908.72,-4221176.908,-4202973.691,-4265441.563,-4282172.607,-4141918.309,-4038846.321,-4009562.019,-4092441.368,-4005205.184,-4009243.712,-4016087.326,-3745366.689
230.4,-4354189.708,-4264586.111,-4264048.967,-4245666.701,-4318499.465,-4347783.767,-4205937.931,-4082474.36,-4050663.492,-4122441.861,-4027944.285,-4052135.664,-4054184.77,-3779942.855
230.3,-4409993.014,-4332783.52,-4305985.997,-4288558.654,-4375695.367,-4412420.109,-4272742.744,-4128449.918,-4096241.165,-4153198.336,-4054483.183,-4094470.579,-4093595.233,-3812131.714
230.2,-4460524.349,-4402433.208,-4345495.931,-4330436.001,-4432115.394,-4474967.558,-4343347.354,-4172296.793,-4143052.28,-4184392.483,-4085697.225,-4138675.55,-4132408.869,-3845932.005
230.1,-4507972.08,-4471923.741,-4386597.403,-4368294.715,-4485193.19,-4538927.497,-4411027.513,-4211329.266,-4190261.28,-4215447.371,-4116334.334,-4183178.935,-4169312.659,-3882855.69
230,-4559537.916,-4541633.112,-4433309.047,-4409177.35,-4536321.353,-4599584.994,-4475703.644,-4248650.835,-4238027.318,-4242901.404,-4147130.597,-4226707.503,-4206216.45,-3924414.729
229.9,-4610447.242,-4611760.261,-4488396.161,-4454178.091,-4583311.516,-4655587.242,-4539106.545,-4287464.472,-4284659.386,-4275905.926,-4180055.542,-4266396.486,-4238226.261,-3963288.048
229.8,-4661615.193,-4676217.555,-4543204.755,-4502162.966,-4625885.161,-4708704.827,-4599226.898,-4322677.253,-4332922.78,-4311894.582,-4215129.063,-4304692.872,-4268823.581,-3997724.954
229.7,-4714116.057,-4739282.253,-4597197.687,-4554683.724,-4668797.008,-4761563.787,-4655030.204,-4358606.226,-4384269.779,-4343387.143,-4256847.257,-4341318.143,-4301947.469,-4032360.803
229.6,-4766616.921,-4805052.567,-4646893.465,-4610884.915,-4712922.403,-4813845.815,-4706775.087,-4399071.083,-4434741.432,-4374103.829,-4302643.767,-4377863.838,-4337180.144,-4070557.718
229.5,-4821684.14,-4868773.775,-4698777.608,-4670388.546,-4760728.23,-4868395.785,-4760927.172,-4439356.892,-4490007.593,-4407506.235,-4351702.93,-4411644.234,-4374143.617,-4115160.574
229.4,-4874383.947,-4930545.349,-4750542.386,-4730329.851,-4808693.21,-4916480.13,-4811816.604,-4484516.787,-4546149.101,-4444290.66,-4403786.015,-4446459.131,-4412977.148,-4159067.133
229.3,-4921672.524,-4988019.769,-4803003.461,-4791206.185,-4857533.537,-4962296.534,-4861154.286,-4529418.056,-4602628.81,-4485252.873,-4454834.601,-4482368.21,-4454257.668,-4203570.518
229.2,-4965499.505,-5043882.758,-4854708.557,-4848441.875,-4908263.815,-5006302.564,-4905040.95,-4569286.087,-4656124.386,-4530870.335,-4506042.34,-4519769.356,-4493369.718,-4251953.277
229.1,-5008152.727,-5098193.997,-4911964.141,-4906552.911,-4958039.17,-5052556.641,-4943595.961,-4614983.125,-4707909.058,-4577462.614,-4560472.944,-4550466.148,-4529258.903,-4307736.689
229,-5049473.036,-5147213.371,-4971706.504,-4966951.783,-5012032.101,-5095269.545,-4982747.799,-4668259.864,-4757465.577,-4629665.065,-4617629.057,-4582058.18,-4564014.117,-4361510.783
228.9,-5091270.806,-5193925.015,-5031369.289,-5030155.742,-5065885.773,-5137286.152,-5015195.283,-4722670.574,-4805530.028,-4681867.515,-4674884.642,-4614406.193,-4596899.273,-4413514.292
228.8,-5138101.815,-5241253.381,-5088286.672,-5092802.661,-5116059.012,-5181550.806,-5047125.517,-4772943.285,-4851067.913,-4734547.427,-4726191.852,-4646276.744,-4631833.535,-4471585.539
228.7,-5181511.018,-5289516.775,-5139991.767,-5157757.311,-5167624.848,-5231007.854,-5077742.732,-4820072.708,-4895989.077,-4789017.82,-4777837.265,-4680275.977,-4668060.922,-4532839.863
228.6,-5228978.643,-5333463.121,-5188593.363,-5224621.807,-5213878.925,-5283051.151,-5113691.599,-4868793.669,-4937926.107,-4845039.962,-4826001.187,-4722372.161,-4704924.924,-4592761.274
228.5,-5274635.893,-5374564.594,-5238647.237,-5291506.197,-5256034.791,-5335014.871,-5149322.159,-4917355.476,-4977376.358,-4902514.383,-4868694.198,-4769601.055,-4739421.513,-4649081.83
228.4,-5316970.807,-5416680.671,-5287805.871,-5354909.098,-5302408.233,-5385765.043,-5187718.017,-4966892.101,-5016886.292,-4961162.563,-4914033.14,-4815536.824,-4776782.871,-4701582.694
228.3,-5356122.645,-5455235.683,-5336069.265,-5413238.97,-5347448.763,-5432058.909,-5223547.519,-5022038.897,-5057768.928,-5022695.407,-4958516.631,-4860000.421,-4816014.286,-4754799.75
228.2,-5401421.8,-5494924.665,-5381368.419,-5466376.45,-5395354.06,-5474672.342,-5258839.877,-5079911.202,-5095528.17,-5080866.125,-5003994.833,-4910750.593,-4859960.632,-4810304.643
228.1,-5443716.925,-5537418.733,-5428477.948,-5516390.535,-5445606.877,-5515992.651,-5295465.148,-5142498.44,-5135595.143,-5136967.845,-5048060.546,-4967588.399,-4904185.498,-4862069.42
228,-5488021.368,-5580509.628,-5469738.574,-5565031.92,-5495700.54,-5555641.845,-5339252.341,-5206100.282,-5171364.962,-5194004.592,-5086376.826,-5030971.405,-4943038.923,-4910551.651
227.9,-5532962.426,-5622665.494,-5510283.008,-5607565.776,-5546192.087,-5593162.356,-5385108.534,-5267195.452,-5207751.503,-5248176.572,-5123061.78,-5093479.065,-4984936.164,-4956288.478
227.8,-5579833.224,-5660961.881,-5551961.413,-5647254.759,-5590257.799,-5632712.079,-5432237.957,-5323058.441,-5238806.391,-5301512.993,-5158214.879,-5156742.706,-5023013.714,-5004313.141
227.7,-5633468.059,-5701506.315,-5600065.653,-5687500.779,-5634025.098,-5677792.396,-5480143.255,-5377409.468,-5269861.279,-5352979.358,-5192393.16,-5217121.684,-5061170.841,-5048577.795
227.6,-5691220.999,-5742786.835,-5649582.383,-5727687.117,-5676439.589,-5720186.993,-5528466.331,-5435779.129,-5302428.128,-5400208.252,-5228859.277,-5273601.393,-5099069.343,-5088724.345
227.5,-5747362.507,-5786275.614,-5694901.431,-5770917.271,-5712129.832,-5759060.312,-5573984.322,-5493591.752,-5338993.716,-5450142.761,-5268528.365,-5322501.402,-5134481.066,-5120833.627
227.4,-5804817.034,-5830460.692,-5736162.057,-5814604.993,-5749729.92,-5795884.526,-5617652.149,-5542611.126,-5378503.65,-5491204.445,-5306426.867,-5368795.268,-5173971.106,-5146019.718
227.3,-5858551.34,-5880514.566,-5777959.828,-5854612.283,-5793119.228,-5833325.461,-5662971.198,-5585821.387,-5425016.352,-5525541.88,-5340346.524,-5413358.336,-5212307.281,-5171563.905
227.2,-5915966.078,-5936675.968,-5823378.347,-5892172.583,-5836866.633,-5871124.491,-5711612.582,-5627460.003,-5474433.611,-5562306.411,-5368019.393,-5454260.866,-5250802.609,-5200828.312
227.1,-5974216.374,-5989952.707,-5872238.568,-5927484.835,-5881549.066,-5908585.32,-5761547.091,-5668462.004,-5527113.524,-5598752.634,-5398636.608,-5493353.021,-5285319.093,-5229973.354
227,-6030477.247,-6045099.503,-5923585.567,-5959056.973,-5925853.509,-5941410.794,-5804160.524,-5709682.842,-5576451.206,-5637267.857,-5429910.332,-5528565.802,-5316791.759,-5255437.964
226.9,-6084390.601,-6101798.049,-5978513.527,-5993593.351,-5969779.961,-5972207.057,-5849260.736,-5747581.344,-5627678.839,-5674171.647,-5460587.23,-5554030.412,-5343131.715,-5280842.892
226.8,-6141188.618,-6163549.729,-6029959.997,-6026717.238,-6017466.423,-6003043.108,-5889665.91,-5786514.345,-5677931.656,-5714338.091,-5500097.164,-5577963.167,-5368695.797,-5307719.992
226.7,-6201189.606,-6225142.255,-6086399.918,-6064038.807,-6064158.173,-6038991.976,-5931403.998,-5829903.654,-5731944.481,-5752853.314,-5537498.31,-5596723.423,-5392409.715,-5338953.928
226.6,-6260275.459,-6287311.713,-6141765.551,-6099291.377,-6112739.874,-6078442.227,-5976066.537,-5871303.539,-5786016.99,-5791209.383,-5576172.687,-5621630.995,-5417456.546,-5364895.999
226.5,-6318008.505,-6352166.892,-6198364.626,-6138701.84,-6160127.922,-6122090.161,-6021962.518,-5910773.685,-5845301.785,-5829147.673,-5615225.054,-5645683.115,-5442304.435,-5389326.11
226.4,-6372618.157,-6416862.917,-6256913.335,-6179166.697,-6204153.846,-6167667.834,-6068196.701,-5949686.792,-5905203.301,-5864957.281,-5656028.112,-5665079.986,-5472663.025,-5420719.199
226.3,-6418096.359,-6476764.434,-6320097.399,-6226892.947,-6245454.26,-6212191.113,-6111088.653,-5987923.496,-5964050.424,-5906396.955,-5701307.372,-5683561.722,-5500753.673,-5453683.933
226.2,-6463713.821,-6535671.239,-6383341.145,-6276608.619,-6287968.223,-6257967.729,-6160068.239,-6025722.527,-6018580.499,-5951019.705,-5745591.921,-5708986.544,-5526337.649,-5484161.888
226.1,-6504138.889,-6594339.313,-6443660.44,-6326105.455,-6331775.31,-6302232.383,-6206779.884,-6065232.461,-6076333.439,-5991066.784,-5791925.575,-5735644.808,-5551563.528,-5508989.883
226,-6539431.248,-6650799.128,-6496897.391,-6374567.791,-6378268.117,-6341145.49,-6250049.827,-6109875.105,-6135001.514,-6034336.727,-5839472.777,-5762760.639,-5578460.523,-5533778.09
225.9,-6573788.577,-6702922.002,-6548582.592,-6423706.531,-6422870.974,-6383022.838,-6295249.509,-6154338.702,-6187880.368,-6072951.421,-5882384.623,-5795864.632,-5607685.142,-5559938.998
225.8,-6614094.28,-6752418.838,-6598934.88,-6468627.695,-6472208.656,-6429635.011,-6344786.134,-6200652.462,-6238769.8,-6110750.451,-5921994.029,-5839432.988,-5639257.279,-5588168.905
225.7,-6653862.839,-6798613.233,-6647675.735,-6512017.003,-6519278.396,-6480464.76,-6397466.046,-6247901.25,-6290514.684,-6146301.434,-5959534.434,-5889964.324,-5669416.927,-5612797.958
225.6,-6695680.504,-6838700.099,-6687981.438,-6556381.129,-6560539.022,-6532846.259,-6446027.853,-6299606.345,-6334938.492,-6180917.389,-5998925.003,-5937670.679,-5704112.458,-5639854.106
225.5,-6733459.64,-6868382.286,-6726158.459,-6599014.456,-6602794.36,-6585705.219,-6495186.487,-6347571.326,-6374905.993,-6211912.594,-6035828.794,-5983526.872,-5744875.729,-5664602.524
225.4,-6775038.574,-6897507.433,-6759481.289,-6648630.658,-6643060.274,-6639598.679,-6547070.631,-6391855.874,-6413819.1,-6233020.368,-6070504.431,-6032466.669,-5783689.365,-5687142.683
225.3,-6817572.431,-6923111.303,-6788148.869,-6694884.735,-6685315.612,-6694964.312,-6593503.756,-6434330.048,-6457009.467,-6248577.654,-6105060.703,-6077646.458,-5826760.366,-5706420.189
225.2,-6855868.817,-6942209.761,-6814468.931,-6737617.534,-6723930.306,-6745893.532,-6634485.863,-6474814.799,-6503880.265,-6258047.306,-6138144.802,-6122428.362,-5872298.251,-5723549.118
225.1,-6891698.319,-6959935.517,-6839197.455,-6784329.178,-6757750.491,-6796126.454,-6670056.74,-6509390.965,-6549975.188,-6263597.795,-6163887.931,-6162236.71,-5916264.491,-5739762.913
225,-6927527.821,-6978297.888,-6864323.863,-6826803.352,-6794335.974,-6844986.675,-6704792.06,-6534815.787,-6591275.602,-6264234.41,-6184936.023,-6200433.625,-5961941.636,-5746308.113
224.9,-6967017.861,-6990294.107,-6890444.983,-6864542.7,-6829847.168,-6892255.358,-6735727.582,-6560578.811,-6636694.122,-6262881.603,-6202363.365,-6235367.887,-6001093.474,-5755897.13
224.8,-7009591.506,-7003304.931,-6916585.997,-6899297.914,-6861260.152,-6935903.291,-6765509.239,-6585367.017,-6679506.498,-6264413.458,-6222217.803,-6265985.102,-6038216.101,-5770419.916
224.7,-7051687.69,-7015380.726,-6936858.214,-6926930.995,-6892215.569,-6981640.118,-6794395.657,-6607608.762,-6721065.537,-6269048.813,-6245891.933,-6291768.02,-6072314.805,-5781799.413
224.6,-7094659.22,-7030758.964,-6961387.795,-6950306.711,-6927149.831,-7026342.445,-6826683.986,-6628736.431,-6761311.558,-6274479.937,-6263737.054,-6311383.727,-6106393.616,-5795486.641
224.5,-7137849.586,-7049081.546,-6988563.309,-6972647.927,-6958105.248,-7069672.071,-6857718.98,-6651913.205,-6806133.25,-6278279.734,-6282397.839,-6326364.08,-6139955.176,-5810526.677
224.4,-7183268.105,-7070507.628,-7015042.525,-6990930.722,-6991905.539,-7115070.696,-6885690.263,-6673498.441,-6848945.626,-6291688.443,-6304540.113,-6342120.308,-6177873.572,-5827615.817
224.3,-7229164.086,-7095315.729,-7045858.682,-7007781.132,-7024850.378,-7165283.724,-6918157.641,-6697132.782,-6887202.224,-6303624.979,-6322305.658,-6354454.728,-6219134.198,-5843710.247
224.2,-7273289.481,-7120899.705,-7078206.694,-7024890.167,-7061833.746,-7211915.792,-6949530.836,-6724029.777,-6926473.427,-6321032.427,-6347372.383,-6367843.543,-6260713.132,-5857835.148
224.1,-7311028.829,-7150542.102,-7110793.437,-7045997.941,-7092848.845,-7250610.062,-6978158.628,-6749096.502,-6965267.169,-6341742.317,-6370449.686,-6372459.003,-6301735.027,-5881588.854
224,-7341387.419,-7180900.692,-7147020.824,-7066349.735,-7124202.146,-7281585.373,-7005194.882,-6771696.344,-6999166.932,-6364501.313,-6394183.499,-6372140.696,-6338996.914,-5913439.511
223.9,-7364046.943,-7216630.723,-7186172.662,-7091834.239,-7162438.85,-7309417.397,-7032867.752,-6792664.859,-7027118.32,-6396133.133,-6412605.553,-6376537.32,-6367644.6,-5942465.188
223.8,-7387303.294,-7258667.224,-7226160.058,-7118373.138,-7205330.803,-7330644.536,-7066190.581,-6814110.835,-7051846.844,-6432101.895,-6431246.443,-6387916.817,-6395078.739,-5970894.038
223.7,-7406481.328,-7303110.927,-7267162.059,-7142803.248,-7241717.343,-7347435.264,-7097802.507,-6841385.82,-7078922.886,-6472208.656,-6448375.372,-6398082.767,-6420443.878,-6000814.955
223.6,-7426116.93,-7351334.532,-7311844.492,-7171192.31,-7278740.499,-7361560.165,-7131185.02,-6875484.524,-7101542.622,-6524212.164,-6467394.253,-6411212.957,-6448315.689,-6034774.4
223.5,-7448139.839,-7400891.051,-7360645.03,-7198029.621,-7317156.251,-7378271.315,-7172206.915,-6909921.431,-7119845.311,-6575439.798,-6483130.586,-6430609.828,-6477062.847,-6075497.882
223.4,-7472888.257,-7452655.829,-7408430.963,-7222976.982,-7354676.762,-7389292.717,-7212492.724,-6946705.856,-7132836.241,-6631203.315,-6506625.668,-6457705.764,-6507580.591,-6116281.046
223.3,-7497358.156,-7508339.769,-7455500.703,-7257214.946,-7389352.399,-7402701.425,-7251465.514,-6984664.04,-7141171.922,-6684678.996,-6532130.066,-6482653.125,-6538496.219,-6159710.143
223.2,-7515083.912,-7566868.584,-7498472.233,-7298535.255,-7428126.247,-7412370.02,-7289125.285,-7027655.464,-7144016.796,-6740919.975,-6560976.695,-6508455.937,-6575081.702,-6204750.672
