WL,Beta25ME,Beta30ME,Beta35ME,Beta40ME,Beta45 ME,Beta50ME,Beta55ME,Beta60ME,Beta65ME,Beta70ME,Beta75ME,Beta80ME,Beta85ME,Beta90ME
246.9,-150672.5066,-14556.26745,-134335.3677,-142936.0398,-106977.2251,-220977.1121,-74364.81822,-183553.0876,-262470.5007,-104821.8845,-256237.6395,-155217.3427,-139157.1314,-140101.1125
246.8,-150782.3228,-29588.88226,-140893.4995,-159985.9888,-112242.0332,-232706.7482,-70693.13975,-184771.4101,-269224.5906,-107013.0347,-262084.5527,-171620.5305,-142899.4344,-145652.9943
246.7,-153389.6601,-44664.1304,-145892.1229,-174061.5521,-119812.1843,-245164.5129,-70118.79342,-187886.846,-274655.7145,-110067.5942,-267229.1997,-188908.4145,-146448.5644,-151068.2028
246.6,-155911.0544,-60388.92505,-151076.7573,-187829.5506,-127719.9405,-256925.9797,-73826.08256,-192680.5588,-277854.7062,-117153.7188,-273066.1658,-204138.6387,-149773.4865,-156122.3311
246.5,-157673.8818,-77288.87166,-155598.1182,-204431.0838,-132478.0427,-269515.0463,-79274.11654,-199568.9348,-279901.8221,-126296.5086,-279046.3703,-220151.5017,-150200.2177,-160804.4373
246.4,-157770.3688,-92847.74845,-158102.0056,-221820.6273,-134745.5866,-281765.9111,-87875.38544,-205274.599,-282253.3197,-136388.6508,-283419.1214,-234913.0179,-151457.5328,-167035.1102
246.3,-158949.4996,-109847.3651,-159769.9375,-240557.01,-136393.6244,-291211.6899,-95006.27204,-210297.8912,-284728.1615,-149578.3242,-286339.5938,-249594.9572,-151888.2428,-170034.9606
246.2,-156729.7018,-121950.4158,-161757.3708,-255125.5522,-137506.3085,-299618.9901,-105575.6768,-213938.5347,-282633.2994,-165311.0765,-288862.1818,-262363.0719,-148756.0958,-171941.8222
246.1,-152795.6185,-130030.8539,-166205.322,-265844.5615,-137832.3748,-307809.4433,-118992.7411,-217376.2571,-278795.7031,-183759.5897,-287837.6291,-275475.3567,-148076.7079,-176771.1458
246,-145432.1684,-132037.3856,-171951.9683,-272773.7207,-135254.6799,-314018.4314,-132364.8445,-216514.8371,-271261.7594,-202990.7418,-282903.8609,-285233.4748,-148733.6153,-183841.7529
245.9,-142546.1129,-131610.0576,-177402.1906,-278089.458,-132544.6883,-318488.6641,-146801.2891,-216037.3756,-262170.0979,-222600.481,-276643.1478,-294657.37,-151918.681,-192940.7753
245.8,-138406.5222,-130504.9333,-182383.9039,-284475.5048,-133343.0437,-318988.0092,-161457.1669,-217555.3051,-254914.6734,-246497.4261,-271737.2315,-303172.099,-157185.6775,-202757.9793
245.7,-137638.804,-129062.9997,-188158.2032,-286846.8966,-132885.6754,-319123.29,-176533.4097,-219914.7604,-248600.2458,-267859.8467,-267079.993,-307375.7491,-162342.261,-211955.0803
245.6,-136266.5003,-130543.5281,-194384.8972,-289351.5798,-128945.2259,-318747.2891,-193127.1842,-218307.3069,-241384.6098,-286618.113,-261412.1278,-309601.9131,-165953.859,-219311.9654
245.5,-135888.9078,-132345.5471,-202654.5294,-292297.9147,-124995.824,-314269.0987,-215044.6537,-217620.9561,-234163.0056,-306864.4675,-255565.2146,-308177.4864,-170831.5254,-231133.1148
245.4,-135822.4611,-137165.5204,-209629.4452,-290073.7402,-120598.4042,-307954.6711,-236830.8214,-219017.5308,-231507.1263,-327186.42,-252736.2556,-307347.8972,-178287.4837,-245866.7791
245.3,-140999.9336,-142706.4604,-219333.849,-287401.9455,-119937.9158,-303158.1731,-262160.1507,-221579.9072,-232479.954,-343885.6339,-251347.6386,-303384.9672,-187354.6754,-261193.2913
245.2,-146771.8456,-142861.0385,-226768.3215,-282366.7168,-116849.5361,-300090.4833,-289920.5546,-229557.4921,-234383.8315,-359146.4952,-247736.8364,-299390.2065,-196599.7215,-277868.6321
245.1,-152081.2168,-141972.1645,-235816.2158,-277488.6524,-113900.8138,-298045.3568,-317766.5037,-239333.5151,-234608.6362,-374132.8161,-242799.0894,-295856.9919,-207922.5206,-297997.6107
245,-157719.4396,-143370.5297,-246859.501,-270302.8577,-112595.9515,-291760.7706,-341707.2161,-249887.4023,-238489.9999,-388339.2834,-238372.6239,-292906.6781,-223640.9491,-317738.6518
244.9,-166110.4265,-144409.0083,-259739.0234,-262283.495,-113640.1994,-287775.957,-361243.3467,-259892.2089,-244511.9823,-397995.941,-236970.0809,-292976.3079,-241901.8597,-337839.7784
244.8,-176320.5415,-147758.2014,-271574.0988,-253717.0409,-116981.8327,-284690.3624,-375967.0638,-269166.8974,-251371.5116,-405959.5999,-233928.2537,-295675.9544,-263083.2429,-359781.121
244.7,-186653.205,-151783.9971,-286608.1659,-248437.1132,-123041.4152,-283140.6022,-384859.7831,-279082.1799,-258941.2649,-413059.8494,-233259.8077,-299770.1863,-284254.6789,-382345.1529
244.6,-196647.4676,-160492.4958,-299595.1171,-240749.984,-133682.837,-280299.7066,-390865.8502,-288858.2029,-268001.0957,-414762.7952,-235820.1946,-306894.3088,-303764.947,-405661.1865
244.5,-209128.1107,-171406.2697,-315761.1657,-231893.0743,-146237.0888,-277856.6956,-392855.2728,-302404.1819,-281031.8142,-417748.9187,-238378.5922,-313813.5209,-326072.3433,-425368.4075
244.4,-221647.5476,-185119.9569,-331041.9212,-225278.2439,-160791.1082,-276082.1306,-392958.7228,-318574.2093,-296145.4582,-418896.8155,-247480.2009,-318870.6333,-349776.3144,-440404.464
244.3,-238758.5719,-203175.7581,-343099.8119,-219009.5731,-182030.5825,-278594.7714,-394790.9811,-336043.3297,-310829.3869,-418785.4079,-257003.5672,-323981.4601,-373004.8135,-451883.4328
244.2,-252789.97,-224186.0509,-353261.7829,-217676.6599,-203257.3244,-280954.2267,-393290.9564,-351111.217,-327212.2825,-418313.9147,-268635.7215,-331821.7748,-397645.8026,-463676.7303
244.1,-265373.0684,-249314.4486,-365345.5362,-219586.5057,-220841.8314,-286506.7053,-392007.7788,-365856.8178,-345877.046,-414114.2434,-278885.2271,-340696.5894,-419678.6586,-471431.4999
244,-277379.2341,-275320.1817,-377343.7443,-224741.0998,-238426.3383,-294820.5027,-389914.9061,-378286.7306,-364217.5335,-411036.6066,-290555.1805,-350920.2324,-440696.9091,-478394.4792
243.9,-291088.3457,-300965.8293,-384430.0678,-232255.1492,-259524.1657,-305822.01,-385649.5839,-392369.8537,-381189.2983,-407990.8005,-305869.7562,-361488.0456,-457449.8374,-482942.2994
243.8,-302686.6799,-322188.9903,-389037.5707,-239295.716,-283261.957,-320247.3138,-380926.6945,-407093.5709,-395944.8462,-406176.447,-323287.1516,-372799.9029,-469169.5263,-487056.4255
243.7,-313429.5623,-338472.4148,-397524.4478,-248554.4891,-309482.5477,-337939.2495,-375740.2696,-418114.9724,-410573.0711,-402740.7141,-336357.6585,-386383.6809,-477877.2293,-489618.8019
243.6,-323957.587,-352221.3149,-401391.8855,-259657.457,-337396.1372,-353942.1655,-371413.2753,-427811.4185,-424304.0663,-401107.3981,-351642.3929,-396637.1653,-483835.5502,-492218.9773
243.5,-337421.9996,-366443.6975,-403275.8688,-270925.547,-368942.4124,-369577.0382,-369483.5353,-437555.6107,-437175.631,-398767.837,-369284.5931,-407105.5074,-490434.4652,-493484.2502
243.4,-350341.3104,-383107.1018,-404734.1156,-284429.7481,-399991.3319,-386345.8819,-372736.2414,-447675.8038,-450954.3724,-395916.9943,-387664.8691,-416706.4612,-495996.891,-491894.7014
