WL,MEA25,MEA30,MEA35,MEA40,MEA45,MEA50,MEA55,MEA60,MEA65,MEA70,MEA75,MEA80,MEA85,MEA90
193.9,2808906.744,393072.6114,513620.9288,424205.7358,-360255.8624,-1059565.062,-199173.1882,-1064018.906,2756009.886,1154566.466,-399801.1395,994707.7028,-1969743.267,2127058.682
193.8,2839832.898,259469.238,698580.8228,488647.1639,-216305.9591,-913999.1973,-199692.6043,-1169452.414,2268216.475,1187582.225,-427734.1831,1016857.516,-1653802.952,2073226.477
193.7,2885605.198,209668.9756,840693.8638,611261.2051,-41075.86301,-823208.8452,-240959.3179,-1216498.378,1801034.53,1222014.935,-416352.8012,1037305.793,-1399905.994,2023095.858
193.6,2989727.23,93472.80789,934395.7322,746365.1139,160729.8295,-733449.3649,-273360.136,-1220554.201,1391653.049,1243571.698,-383808.6959,1051326.048,-1204096.074,1925019.75
193.5,3121014.127,-98713.73624,1052541.999,849559.7593,386911.2618,-693167.7508,-226660.4494,-1189498.691,1048054.323,1240904.964,-338762.7824,1079903.884,-989002.0861,1738549.37
193.4,3238191.215,-256225.375,1200243.241,916080.8419,557685.723,-643998.3501,-174832.8721,-1099448.656,755708.6334,1205270.233,-287320.6875,1158192.428,-796008.1584,1518332.864
193.3,3328621.359,-432154.1952,1313288.881,924522.8461,759545.5462,-566690.9255,-131698.0517,-996134.6045,538252.3965,1146166.253,-215141.7506,1250857.454,-541892.2894,1240694.013
193.2,3482336.683,-599067.8624,1370118.177,926984.5998,921416.3,-540736.0413,-87892.36848,-865385.0345,449149.6492,1112660.93,-149498.3021,1350647.038,-296083.0978,1011372.8
193.1,3638519.731,-831388.1562,1349984.335,870453.8192,1044852.253,-529167.59,-2783.35386,-775713.1186,423361.9334,1058255.576,-58371.42409,1433359.575,-47773.54456,837750.5059
193,3752612.164,-1021217.825,1258089.477,826016.8763,1130155.899,-454867.2065,54918.7996,-633190.117,400973.3084,951753.3844,-21385.41559,1512366.545,146633.7522,651101.017
192.9,3796255.057,-1144870.698,1090063.344,768755.729,1186254.828,-438076.7328,107582.4179,-483749.5278,463848.5278,947896.5706,-38572.71523,1615485.566,289418.2529,531533.8189
192.8,3766045.339,-1216233.694,917268.9316,732147.8395,1225008.045,-446202.3111,203583.2498,-319351.347,597841.9608,953659.9002,-49841.05945,1773372.14,484075.9042,386620.7072
192.7,3736253.542,-1281795.549,791966.2653,665222.7666,1189693.721,-418474.2478,289583.4312,-55594.23954,726645.213,1004680.094,-75274.13943,1913562.744,545591.8853,226206.7066
192.6,3581005.841,-1359719.904,640867.9228,501668.3882,1100977.053,-365077.8747,362122.5762,235793.0183,948431.9075,1099524.28,-42828.74309,2050021.911,635058.8209,153065.5564
192.5,3473659.847,-1420599.053,466505.3113,340677.2586,933303.1673,-256802.504,466951.0937,465086.37,1138514.319,1213539.099,33638.6603,2124849.671,727994.5008,136517.2778
192.4,3285177.476,-1425946.452,299070.2379,213975.552,722790.3893,-169752.9429,611354.7398,641208.2299,1293356.04,1346416.086,130122.2905,2197488.321,786388.015,173301.0922
192.3,3025807.743,-1426714.631,58216.99233,37715.18114,497970.7824,-54940.09367,748755.224,761247.0817,1401167.717,1478590.567,219322.9507,2223757.641,816920.1292,188958.6019
192.2,2716745.213,-1317454.16,-154812.2671,-93152.20278,260699.1198,47067.45708,878284.8627,883898.9348,1453949.149,1594527.823,371742.7196,2268853.307,756647.9606,256903.9991
192.1,2373035.042,-1203839.351,-332724.819,-202285.7046,3340.263444,173524.3814,937132.1197,941627.7556,1484288.224,1657432.894,552581.1165,2255141.518,690180.6107,344512.1813
192,1946480.988,-1085213.471,-509099.4216,-156254.8906,-301609.6055,315554.2362,929181.6702,1012491.236,1474656.14,1748511.811,769850.284,2260554.59,528853.1542,483739.5773
191.9,1507315.671,-954897.7424,-611165.6803,-182162.8085,-627456.6389,562790.3295,997750.5657,978482.4175,1365127.006,1840002.678,1061614.865,2245011.909,334257.196,519977.3082
