WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta 80 ME,Beta85ME,Beta90 ME
246.9,-40405.17436,-121477.53,-200895.8797,-209854.25,-119617.022,-112627.7823,47722.07199,-123749.4507,-109599.2841,-132466.504,810.0730156,-113906.5831,-159794.6064,-31677.57712
246.8,-45330.98488,-130664.485,-206587.618,-203593.5369,-108922.6815,-112522.9397,32317.37545,-132890.8479,-101932.646,-123515.0967,-9382.614652,-122872.1153,-156536.5289,-43745.61396
246.7,-52179.77135,-141113.3307,-210759.4373,-200211.5183,-99174.31147,-113777.4696,17159.94426,-141588.6038,-95422.26032,-114012.4204,-18611.00926,-130491.6041,-155972.7265,-54106.12932
246.6,-56628.51832,-150072.6957,-215104.3364,-196980.298,-93811.82267,-113769.7109,3571.530937,-150753.4761,-90580.00555,-101997.5012,-31846.87699,-137089.5244,-159336.6413,-65576.74253
246.5,-58615.35474,-157978.4624,-215241.6066,-191549.771,-93471.03457,-112183.3452,-10887.69248,-160031.7456,-86911.51015,-91250.83887,-45141.59184,-144318.2906,-165759.4924,-73023.15158
246.4,-57386.6873,-165417.3117,-213890.7886,-188535.9946,-95730.42189,-108656.8946,-23913.85516,-167558.9252,-85837.81874,-81009.09204,-57486.15843,-152653.5737,-171479.6793,-78676.29503
246.3,-60251.05806,-169782.105,-208746.1416,-186957.1888,-98669.99283,-105128.8525,-36346.75212,-172403.7662,-86850.03699,-75557.07923,-70886.51163,-157588.1377,-180690.5074,-81870.31312
246.2,-63743.09166,-172242.424,-201546.4209,-183891.0905,-104100.5199,-99373.65162,-51954.56871,-172281.4167,-88875.8661,-71691.2331,-83551.37527,-161497.1543,-190230.9827,-84501.12565
246.1,-66498.83994,-176944.4245,-192041.7552,-181619.7667,-109235.4187,-92048.59736,-68267.43669,-170805.464,-91646.73399,-68729.57958,-98016.06959,-161133.4878,-204216.2262,-85663.74426
246,-66585.18088,-182595.9764,-181056.1632,-181469.5653,-116014.5754,-84583.88563,-85960.16823,-165706.9716,-95932.34829,-68331.69504,-112808.8197,-159517.2809,-214549.2875,-87694.9448
245.9,-68295.68649,-189240.2502,-168359.4688,-182359.8319,-118610.9709,-80202.77904,-105272.6877,-163364.2275,-102103.9353,-69584.23555,-123420.5992,-157352.1922,-222584.5656,-90629.54218
245.8,-66663.76308,-192970.6166,-157183.4891,-181670.298,-120401.8492,-77562.41727,-128774.9313,-156769.4903,-109400.7397,-71233.268,-134297.7676,-152899.4664,-229654.9738,-95229.68421
245.7,-63314.17214,-197304.5739,-147044.9933,-180540.5049,-121407.7013,-76968.77355,-151568.3436,-147822.0618,-117116.5166,-75780.09351,-143570.8645,-148723.6682,-238965.4719,-97876.41212
245.6,-60745.42959,-202688.3495,-136083.4734,-179540.2232,-124222.7344,-77670.84081,-172144.1465,-137030.2396,-126073.2953,-81964.41281,-147530.6114,-143482.7331,-248327.6949,-99299.44616
245.5,-55338.17878,-209961.6788,-128246.1428,-179366.9445,-126580.2002,-78729.61155,-191961.3825,-128848.7389,-134620.8498,-88917.24609,-150994.1963,-134752.9475,-257932.6276,-101994.9149
245.4,-52575.86541,-214316.525,-119841.031,-180242.8873,-128822.2796,-82642.80594,-208750.1204,-121353.589,-145855.1196,-96145.6144,-150721.8443,-122213.0196,-266164.8586,-107326.1698
245.3,-48738.66697,-220571.2699,-110736.4381,-182079.9201,-132108.0101,-87487.8459,-221494.362,-116836.008,-154683.1827,-103479.82,-150175.9467,-109958.3749,-274824.8154,-109609.0323
245.2,-43328.03414,-226068.0447,-102370.12,-186926.7506,-138013.4123,-92752.25616,-230882.4476,-115760.924,-160417.4946,-112705.5687,-150517.9285,-95950.65098,-284656.5423,-108825.5977
245.1,-36639.59514,-233526.3903,-99340.03038,-188687.7875,-144794.5584,-99839.9723,-235171.6428,-118116.9973,-163429.2816,-120665.8456,-152412.4557,-83488.31057,-293095.6732,-105079.3158
245,-33543.45664,-237819.5644,-97485.49057,-190064.468,-148806.6271,-106513.6896,-237250.5895,-123353.1577,-166533.5767,-127012.1039,-155867.685,-76615.25314,-301497.0051,-100491.5082
244.9,-31872.73948,-241923.7434,-98589.62015,-190030.051,-151253.0202,-113633.6344,-238239.3326,-127159.918,-170223.7568,-135348.3817,-158420.5121,-75398.72118,-309116.4939,-95796.27178
