WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta 80 ME,Beta85ME,Beta90 ME
236.5,-808101.4978,-720813.5889,-946428.0452,-923297.0279,-768693.0242,-890175.1299,-746638.2845,-911949.361,-902352.386,-828930.7531,-850321.0256,-893738.1859,-938923.9429,-827231.7861
236.4,-831457.3199,-739719.0725,-960710.1105,-928966.8825,-776376.1745,-908438.03,-758055.5812,-939572.4947,-917229.2887,-854124.8017,-880609.9857,-894856.2414,-941010.8473,-835225.2864
236.3,-855672.5726,-761887.2092,-973882.078,-937622.8605,-791591.2791,-922736.0107,-770847.5689,-966115.3719,-934055.8256,-878505.1765,-910117.1027,-902523.4764,-938959.7525,-846013.9255
236.2,-880546.3242,-784811.3266,-992184.7665,-945361.7147,-809340.9081,-935171.8918,-785967.1812,-990851.8534,-955495.8337,-906160.141,-938263.4546,-909918.1604,-937417.95,-860664.0341
236.1,-903365.0022,-809402.5802,-1008018.582,-954524.9955,-830106.5019,-947201.9306,-805624.6666,-1016394.051,-976886.1062,-930230.1659,-964213.4839,-917460.0618,-935553.8609,-878501.1977
236,-925487.3822,-831807.4583,-1020064.536,-963686.2868,-852093.6012,-959245.8955,-825630.3009,-1038729.299,-997741.2241,-958483.9466,-991693.3791,-926601.4589,-936478.9425,-899227.003
235.9,-947110.4172,-852382.0675,-1028770.249,-973525.9714,-876205.4039,-971689.7342,-848665.826,-1056618.188,-1017076.423,-989158.8547,-1020723.035,-935273.3523,-936490.879,-919085.4201
235.8,-968630.0022,-872381.7336,-1035357.228,-983097.0838,-902533.4235,-987817.9838,-874717.3158,-1073874.44,-1032695.38,-1019786.017,-1050592.227,-942202.5115,-936984.2558,-939478.9918
235.7,-989910.8564,-890964.9307,-1044978.076,-992578.6722,-933649.9834,-1005625.306,-907970.5156,-1087671.086,-1049830.278,-1047860.749,-1076096.625,-952310.768,-940873.5771,-963622.6253
235.6,-1009902.565,-909054.751,-1052279.257,-1001511.18,-963463.4715,-1025913.438,-940030.0619,-1101370.251,-1066981.091,-1076818.786,-1099553.908,-963622.6253,-946340.5106,-990525.588
235.5,-1029850.506,-927906.5202,-1057415.946,-1005736.714,-989284.1883,-1049269.261,-972035.8938,-1113774.301,-1082514.503,-1105185.963,-1119040.303,-975980.9189,-958145.7447,-1017720.996
235.4,-1053190.413,-947074.6076,-1067850.468,-1013077.683,-1013813.77,-1073311.433,-1003194.232,-1121282.382,-1106063.299,-1130294.467,-1137171.901,-989622.3902,-974415.2433,-1043297.014
235.3,-1074590.632,-966821.617,-1076661.621,-1019620.895,-1036071.431,-1099673.273,-1039276.39,-1131187.718,-1130779.886,-1153978.544,-1150109.117,-1005515.888,-992383.7088,-1072698.691
235.2,-1096591.658,-985932.0111,-1088399.215,-1024978.41,-1058635.462,-1128129.975,-1079114.579,-1145173.359,-1153192.722,-1175410.594,-1156089.321,-1024192.588,-1013012.032,-1101107.647
235.1,-1119752.516,-1004344.118,-1102062.57,-1030761.661,-1081348.701,-1156908.963,-1123156.418,-1159626.515,-1175915.908,-1193098.551,-1160750.539,-1043832.168,-1036079.388,-1127917.107
235,-1143516.17,-1025443.935,-1117375.156,-1036610.564,-1104684.629,-1189129.653,-1161466.731,-1176154.638,-1197196.762,-1211265.959,-1166322.911,-1061977.693,-1057103.607,-1155820.749
234.9,-1168940.992,-1052315.067,-1132572.356,-1039793.64,-1126793.083,-1222068.524,-1197455.387,-1190679.413,-1217431.18,-1227738.379,-1169669.12,-1079460.739,-1077948.778,-1187918.094
234.8,-1193936.098,-1077608.586,-1147413.449,-1043060.272,-1148619.039,-1251372.72,-1228758.952,-1209017.911,-1234617.802,-1242549.63,-1170639.959,-1097069.119,-1098702.435,-1218495.521
234.7,-1217327.73,-1105154.133,-1159449.456,-1043844.105,-1168463.53,-1283975.378,-1258596.314,-1232749.734,-1249816.991,-1257810.492,-1170124.698,-1116915.599,-1121692.203,-1249246.027
234.6,-1240794.96,-1131714.915,-1172462.27,-1044586.16,-1186537.435,-1318450.084,-1285968.78,-1259676.57,-1266524.163,-1269884.298,-1172490.122,-1130288.499,-1146637.574,-1273763.672
234.5,-1265189.26,-1156489.195,-1187611.723,-1046776.514,-1204161.731,-1353879.712,-1311186.702,-1288290.436,-1279359.918,-1277774.348,-1180053.907,-1142467.744,-1170900.573,-1294905.267
234.4,-1289352.788,-1179192.487,-1205371.3,-1048085.554,-1221579.126,-1387642.204,-1333888.004,-1317101.255,-1291777.894,-1286482.051,-1192398.274,-1158056.86,-1196751.131,-1313814.729
234.3,-1317570.759,-1201485.957,-1227955.226,-1050045.135,-1239058.194,-1418211.673,-1355324.033,-1349359.744,-1301181.895,-1291871.397,-1202691.547,-1173677.807,-1222919.997,-1326352.071
234.2,-1345699.206,-1224268.825,-1253760.027,-1056882.781,-1255659.926,-1448791.089,-1376445.733,-1383189.876,-1307554.016,-1294266.662,-1214184.442,-1187090.495,-1249629.986,-1338139.4
234.1,-1373567.039,-1248603.443,-1281922.294,-1070790.835,-1271127.687,-1475240.463,-1393184.736,-1413974.203,-1320226.638,-1295319.067,-1227310.653,-1200811.543,-1275928.164,-1349837.205
234,-1401106.617,-1276546.874,-1310910.172,-1085098.763,-1285395.826,-1496841.614,-1402984.632,-1449214.836,-1333173.801,-1300035.988,-1238121.175,-1219738.91,-1295147.976,-1359955.409
233.9,-1428031.463,-1306044.044,-1341370.222,-1104740.333,-1308250.314,-1514121.74,-1413639.98,-1484417.67,-1347105.728,-1305015.513,-1250726.157,-1242579.472,-1313160.209,-1369836.871
233.8,-1452075.626,-1334661.889,-1373555.102,-1130431.737,-1331259.976,-1529054.346,-1428361.707,-1521739.239,-1357778.981,-1310719.187,-1264769.492,-1261713.739,-1331194.325,-1377740.848
233.7,-1471991.736,-1361845.361,-1401058.871,-1162554.945,-1357146.344,-1542862.929,-1441798.268,-1559418.904,-1365738.661,-1317266.377,-1282843.397,-1285829.52,-1348066.619,-1384972.399
233.6,-1492407.191,-1388531.476,-1423803.94,-1199824.789,-1383979.677,-1554417.496,-1453730.825,-1595335.941,-1372488.772,-1328795.082,-1309905.514,-1311091.209,-1367724.104,-1390980.455
233.5,-1512418.794,-1415953.678,-1445470.742,-1241632.506,-1409806.362,-1561167.607,-1465040.693,-1627880.907,-1381005.49,-1339175.889,-1337787.272,-1338302.533,-1386195.894,-1396379.749
233.4,-1531972.829,-1441177.568,-1466236.336,-1285712.144,-1434809.426,-1563771.761,-1479044.239,-1659882.76,-1389275.52,-1351703.284,-1364274.446,-1368776.509,-1405011.854,-1405379.897
233.3,-1548757.588,-1464658.724,-1488772.516,-1331144.59,-1457602.242,-1563531.041,-1495204.32,-1688060.942,-1400957.41,-1366261.879,-1386388.868,-1402988.611,-1425140.832,-1415257.38
233.2,-1562850.658,-1492106.788,-1506589.785,-1380319.139,-1476527.62,-1565550.305,-1512679.408,-1710141.544,-1413401.249,-1381819.164,-1409074.255,-1439176.209,-1446242.638,-1425620.283
233.1,-1577528.619,-1518558.152,-1525877.238,-1431119.047,-1493063.701,-1567084.15,-1529684.993,-1729401.145,-1427394.848,-1398671.563,-1428429.348,-1474050.788,-1466695.893,-1434469.235
233,-1593939.366,-1544538.023,-1547631.575,-1485549.651,-1509436.649,-1565838.771,-1550834.546,-1740748.812,-1445329.493,-1413393.291,-1445818.891,-1506536.071,-1486192.235,-1443151.075
232.9,-1611533.821,-1570788.455,-1566469.418,-1538024.653,-1523360.619,-1566690.244,-1576287.219,-1753314.006,-1461732.283,-1431950.626,-1458905.314,-1541392.746,-1504482.987,-1455569.052
232.8,-1632018.906,-1597749.111,-1585516.151,-1590734.407,-1538967.639,-1567108.023,-1598598.594,-1759501.11,-1481216.689,-1449938.986,-1469843.159,-1577494.799,-1524168.324,-1471786.825
232.7,-1649915.752,-1624037.342,-1601702.094,-1638924.192,-1555979.193,-1570052.369,-1619479.575,-1765632.511,-1503476.339,-1472144.921,-1480190.147,-1612928.406,-1541653.36,-1489661.788
232.6,-1666857.675,-1652794.447,-1610744.02,-1681925.563,-1573537.837,-1577516.682,-1637434.114,-1767488.642,-1526826.193,-1499185.154,-1492647.911,-1645950.833,-1552479.798,-1511018.24
232.5,-1682777.036,-1681358.577,-1618691.763,-1718162.897,-1594309.399,-1586051.306,-1654801.774,-1765960.766,-1550567.963,-1528202.873,-1505682.609,-1676265.655,-1561846,-1533852.834
232.4,-1698073.707,-1708977.732,-1627075.19,-1752766.915,-1615425.131,-1594942.036,-1673235.765,-1764886.477,-1574968.232,-1559677.529,-1520060.166,-1704431.901,-1571263.927,-1557089.29
232.3,-1710467.81,-1738476.891,-1634851.844,-1778356.858,-1634875.717,-1607290.382,-1690836.187,-1761629.792,-1599058.151,-1592713.882,-1534962.932,-1731269.213,-1579030.633,-1580063.143
232.2,-1722925.575,-1763567.49,-1645210.767,-1798304.799,-1657139.346,-1620476.275,-1705231.649,-1755452.635,-1621795.263,-1621930.543,-1550255.624,-1756996.427,-1589343.8,-1603418.965
232.1,-1736346.22,-1785329.785,-1655239.447,-1813004.643,-1679954.045,-1637559.448,-1716111.802,-1743249.516,-1644428.924,-1652486.086,-1567621.294,-1781086.346,-1599790.259,-1627570.557
232,-1750942.614,-1804462.063,-1667651.455,-1822756.793,-1700681.84,-1656612.149,-1723934.212,-1730690.291,-1666356.341,-1683733.948,-1584290.667,-1802450.756,-1609701.562,-1651929.048
231.9,-1767802.971,-1826345.712,-1682987.914,-1828619.622,-1719501.778,-1678692.751,-1730220.787,-1720162.266,-1690360.715,-1712075.263,-1600554.197,-1819514.034,-1613935.054,-1674073.312
231.8,-1784870.228,-1848295.012,-1701344.317,-1833887.613,-1737346.899,-1706132.858,-1736099.531,-1709544.718,-1714422.782,-1736334.283,-1619963.004,-1830469.785,-1618500.779,-1695541.172
231.7,-1803739.902,-1871807.999,-1720967.983,-1837679.453,-1757167.517,-1733381.98,-1739125.443,-1699971.616,-1745583.109,-1761303.527,-1640097.951,-1842702.745,-1621409.315,-1716746.428
231.6,-1825756.843,-1893822.95,-1740714.992,-1836947.345,-1781627.469,-1757678.799,-1740703.055,-1696764.666,-1773037.142,-1788467.104,-1663320.482,-1852850.79,-1626721.073,-1738914.564
231.5,-1847357.994,-1914198.617,-1764432.889,-1839652.96,-1810704.871,-1779906.619,-1744500.863,-1696380.708,-1800359.873,-1813273.215,-1691064.971,-1860567.761,-1636023.614,-1759731.883
231.4,-1869506.237,-1932688.311,-1787784.732,-1846367.262,-1837645.633,-1805251.863,-1745845.713,-1701481.588,-1825534.027,-1836692.699,-1721300.216,-1863798.583,-1646631.215,-1780879.446
231.3,-1893433.023,-1952290.093,-1812785.807,-1850005.916,-1864180.552,-1831711.185,-1739964.98,-1707392.162,-1852812.991,-1860796.544,-1757879.731,-1869442.575,-1663147.402,-1804084.072
231.2,-1916878.369,-1969180.291,-1838142.988,-1852860.737,-1888260.524,-1860979.571,-1736951.004,-1718029.605,-1879125.095,-1884104.62,-1797361.813,-1878319.379,-1682810.856,-1825283.36
231.1,-1939018.654,-1988857.671,-1867522.782,-1853849.48,-1913725.134,-1889597.416,-1738071.049,-1735277.9,-1901796.556,-1905423.273,-1831400.835,-1888113.307,-1703373.529,-1846178.266
231,-1959955.338,-2006292.971,-1896323.654,-1857517.976,-1938825.68,-1917075.322,-1743283.337,-1756310.076,-1923417.601,-1928353.359,-1862565.141,-1897841.584,-1727306.283,-1866852.347
230.9,-1978452.99,-2024297.246,-1927474.034,-1862505.458,-1961099.256,-1940934.468,-1751515.568,-1781945.777,-1947093.721,-1946570.502,-1887321.517,-1906457.773,-1754201.288,-1887940.227
230.8,-2000066.078,-2044887.771,-1960235.847,-1876117.088,-1980961.652,-1964511.116,-1767166.356,-1811464.83,-1970674.347,-1961389.712,-1908982.351,-1914678.068,-1781959.703,-1905049.262
230.7,-2026207.092,-2061320.402,-1994455.906,-1893363.393,-1999926.818,-1984825.111,-1783191.155,-1846705.463,-1994157.493,-1972870.67,-1931795.06,-1921800.201,-1810074.224,-1921207.353
230.6,-2055153.192,-2079284.889,-2029171.332,-1911498.97,-2017374.055,-2004164.289,-1801855.919,-1884068.811,-2016498.709,-1982376.132,-1953730.435,-1929123.266,-1841692.118,-1938214.927
230.5,-2085352.628,-2097925.779,-2063588.344,-1932761.92,-2033249.648,-2025908.678,-1824990.915,-1925516.442,-2040511.041,-1996803.425,-1977052.437,-1938115.456,-1875508.325,-1954798.755
230.4,-2113602.43,-2118396.938,-2098522.606,-1957018.95,-2051432.971,-2046638.463,-1851452.226,-1967194.847,-2063190.459,-2009078.163,-2000046.184,-1950416.056,-1908837.123,-1971163.745
230.3,-2140499.424,-2141533.924,-2132402.474,-1983955.733,-2070133.544,-2064583.055,-1883993.212,-2013594.152,-2082388.388,-2025888.784,-2019801.151,-1960554.154,-1938628.727,-1988028.081
230.2,-2166182.871,-2164312.813,-2167555.572,-2011127.268,-2090803.646,-2081035.58,-1921716.645,-2060942.412,-2095458.895,-2046061.53,-2037785.532,-1970986.687,-1966552.264,-2006670.961
230.1,-2186514.77,-2186435.193,-2202648.988,-2039038.868,-2113602.43,-2093807.674,-1962995.176,-2111871.632,-2105485.585,-2068900.102,-2056088.22,-1986615.591,-1994416.118,-2027102.332
230,-2205135.766,-2209830.804,-2237324.625,-2069695.871,-2136082.906,-2106719.027,-2009217.422,-2164392.39,-2113244.333,-2097149.904,-2072859.053,-2005536.99,-2019502.737,-2047971.376
229.9,-2217748.706,-2233246.309,-2269732.32,-2102382.086,-2157130.997,-2122773.668,-2056068.326,-2212854.726,-2120187.419,-2124086.687,-2087720.041,-2026028.044,-2040491.147,-2067129.516
229.8,-2230341.752,-2254652.497,-2298539.161,-2138589.578,-2182396.665,-2142528.635,-2106201.777,-2258651.236,-2127110.609,-2151401.46,-2103118.172,-2046320.155,-2061181.142,-2085651.041
229.7,-2239751.721,-2276118.367,-2324262.396,-2175553.051,-2202987.19,-2163019.689,-2157688.036,-2303254.092,-2133218.137,-2179909.887,-2119630.38,-2065577.766,-2080379.071,-2099059.75
229.6,-2249300.95,-2299792.497,-2349766.794,-2212039.063,-2223557.82,-2185062.492,-2213610.707,-2344773.343,-2140817.732,-2207363.92,-2135008.617,-2081692.09,-2095777.202,-2108867.604
229.5,-2259407.217,-2327127.164,-2375808.337,-2248823.488,-2243074.057,-2206687.516,-2267185.859,-2383487.508,-2153291.412,-2232012.867,-2152237.018,-2099477.529,-2110757.555,-2116228.467
229.4,-2269294.647,-2354282.784,-2403859.197,-2286085.375,-2262968.283,-2230500.905,-2318353.81,-2416173.723,-2168331.447,-2254513.237,-2172946.908,-2118257.679,-2124782.985,-2123450.072
229.3,-2282882.404,-2379031.202,-2431989.633,-2323824.723,-2283678.173,-2251867.305,-2368566.838,-2442155.583,-2185380.799,-2279699.328,-2195944.634,-2139604.184,-2136421.108,-2132163.743
229.2,-2299474.189,-2402466.601,-2459403.877,-2365582.704,-2305840.342,-2275044.079,-2415477.425,-2465650.665,-2196700.614,-2304467.64,-2225029.993,-2157966.555,-2149014.153,-2139086.934
229.1,-2315329.888,-2425762.74,-2489265.112,-2405112.533,-2332021.144,-2304109.544,-2456877.311,-2482142.979,-2211084.14,-2326192.136,-2255846.15,-2180387.348,-2163298.208,-2144975.625
229,-2328539.654,-2446790.938,-2513357.02,-2441757.698,-2361325.34,-2336994.701,-2492209.457,-2496904.495,-2226999.522,-2349746.9,-2283459.337,-2201375.758,-2179949.675,-2150884.21
228.9,-2338347.508,-2468973,-2533708.814,-2475438.624,-2390450.488,-2372505.895,-2525313.45,-2508900.713,-2243093.951,-2375370.664,-2313658.773,-2225706.397,-2196561.355,-2156653.536
228.8,-2349269.439,-2488807.544,-2550022.08,-2508681.877,-2417287.8,-2410901.753,-2557004.953,-2521215.24,-2260779.918,-2398328.602,-2339004.018,-2255189.641,-2209313.554,-2162721.275
228.7,-2362379.734,-2511049.29,-2562933.433,-2538662.476,-2443468.602,-2446492.524,-2583563.746,-2533012.516,-2279977.847,-2419137.963,-2362141.003,-2281728.539,-2226283.329,-2169743.937
228.6,-2376842.837,-2529968.699,-2574273.142,-2569021.066,-2469569.827,-2483953.353,-2607675.549,-2541447.668,-2304149.333,-2438395.574,-2383029.941,-2311152.1,-2246217.344,-2179850.204
228.5,-2395503.621,-2547694.455,-2589512.12,-2598245.685,-2494934.966,-2518449.942,-2627987.554,-2548967.686,-2332220.086,-2453674.34,-2403182.793,-2340655.238,-2266827.763,-2191826.529
228.4,-2420749.395,-2567708.047,-2605308.136,-2628942.477,-2521374.394,-2552767.483,-2645733.204,-2552349.704,-2364090.637,-2468634.799,-2425504.115,-2370019.117,-2285727.279,-2202211.315
228.3,-2451048.302,-2589850.322,-2618498.008,-2656595.452,-2549564.513,-2586169.89,-2655083.491,-2555592.463,-2398627.015,-2478223.816,-2449416.976,-2401233.159,-2307173.255,-2213690.284
228.2,-2485127.113,-2613484.663,-2634234.341,-2680369.053,-2574790.392,-2617582.874,-2661529.22,-2557044.742,-2431273.441,-2489682.89,-2472374.913,-2432745.614,-2329713.414,-2230540.694
228.1,-2521056.086,-2640739.754,-2651303.588,-2702551.116,-2601428.762,-2647643.05,-2669606.276,-2559750.357,-2466227.597,-2503489.484,-2495611.37,-2465451.722,-2352233.678,-2252503.92
228,-2561540.837,-2667915.267,-2667557.171,-2725807.467,-2629320.467,-2675395.496,-2678459.207,-2564127.087,-2501897.946,-2516957.875,-2516400.837,-2499172.437,-2370675.627,-2281808.116
227.9,-2604333.319,-2694135.858,-2685064.091,-2749043.923,-2655879.26,-2699666.453,-2687471.292,-2573278.431,-2532435.584,-2534186.275,-2532017.805,-2532992.622,-2389376.2,-2317836.56
227.8,-2646489.185,-2714467.758,-2701377.356,-2769176.881,-2684347.898,-2724414.871,-2698253.963,-2586229.572,-2559750.357,-2556885.588,-2544889.369,-2568205.403,-2406127.138,-2358281.523
227.7,-2686138.379,-2733964.1,-2712776.748,-2787618.829,-2710469.018,-2748248.154,-2706828.374,-2600712.569,-2588776.033,-2582131.362,-2561739.779,-2602125.06,-2419993.414,-2397632.304
227.6,-2728254.457,-2754097.057,-2727239.851,-2805304.796,-2734978.705,-2773752.553,-2713851.037,-2619433.037,-2618995.364,-2610162.327,-2575247.959,-2634512.861,-2433979.056,-2438972.507
227.5,-2766113.17,-2774230.014,-2737783.791,-2819708.217,-2756922.037,-2796591.125,-2720137.612,-2637835.196,-2646250.454,-2638869.696,-2586149.996,-2665070.393,-2445517.707,-2478402.864
227.4,-2802638.97,-2794482.337,-2751132.817,-2831147.397,-2775264.514,-2816783.765,-2730124.514,-2660275.884,-2670998.872,-2671277.391,-2599777.541,-2696364.011,-2461552.454,-2516420.731
227.3,-2838369.001,-2813958.785,-2769336.035,-2844078.644,-2788772.694,-2834111.637,-2740907.185,-2687113.196,-2694056.281,-2707047.211,-2615155.778,-2731039.648,-2480292.815,-2552270.128
227.2,-2876486.34,-2835842.434,-2789767.405,-2853289.671,-2806558.133,-2848455.374,-2752664.673,-2712538.018,-2720217.189,-2740350.146,-2637019.533,-2760761.623,-2502375.407,-2584657.929
227.1,-2912474.996,-2856114.651,-2818653.823,-2863137.313,-2823687.062,-2860750.006,-2763666.18,-2739693.637,-2745005.395,-2773215.409,-2663220.23,-2793288.684,-2523125.085,-2617364.037
227,-2946832.325,-2875153.426,-2851121.201,-2871950.456,-2840676.732,-2873820.513,-2775304.303,-2768440.794,-2770171.592,-2807532.95,-2695389.194,-2823309.072,-2543914.552,-2648558.185
226.9,-2981030.501,-2893635.163,-2885180.117,-2883966.569,-2860431.699,-2886234.511,-2784077.657,-2793885.51,-2792453.126,-2840995.039,-2726563.447,-2850962.047,-2561401.578,-2675077.189
226.8,-3011966.023,-2914623.572,-2918662.1,-2898429.672,-2880823.281,-2899702.902,-2792831.116,-2819847.476,-2807771.681,-2869125.476,-2759070.614,-2876108.349,-2584001.419,-2693718.079
226.7,-3041568.632,-2934020.443,-2952323.132,-2912554.572,-2905014.661,-2912156.688,-2802638.97,-2849987.23,-2822135.312,-2895147.124,-2790244.867,-2900319.623,-2608312.164,-2707106.894
226.6,-3068008.06,-2951407.997,-2983756.01,-2928350.588,-2925843.916,-2925266.983,-2818434.986,-2883807.415,-2834927.3,-2923416.82,-2815391.169,-2921148.878,-2633816.563,-2717710.516
226.5,-3096476.698,-2970208.041,-3013259.148,-2947827.036,-2945559.094,-2938536.432,-2833475.021,-2916652.783,-2846286.903,-2947727.565,-2841671.443,-2945340.258,-2659122.019,-2725767.678
226.4,-3126994.442,-2988053.163,-3041489.055,-2969710.686,-2964936.071,-2952343.026,-2848972.624,-2946951.69,-2855179.623,-2968556.821,-2867732.88,-2972277.041,-2689321.455,-2729109.908
226.3,-3153553.234,-3007032.255,-3068943.088,-2991892.748,-2985407.231,-2963444.004,-2861167.785,-2974346.04,-2864191.707,-2988132.74,-2896241.307,-2995951.171,-2727339.322,-2723320.688
226.2,-3178759.219,-3029632.096,-3096138.496,-3014671.638,-3009180.831,-2979021.184,-2874914.696,-3000924.727,-2877361.685,-3004664.842,-2920552.052,-3018312.281,-2764501.738,-2716855.065
226.1,-3203587.214,-3056389.831,-3124487.769,-3043080.594,-3033431.894,-2991992.22,-2887766.366,-3025155.895,-2894212.095,-3018570.906,-2947787.248,-3038266.191,-2802022.249,-2704799.163
226,-3227082.296,-3087663.556,-3150966.985,-3073299.924,-3060050.369,-3009240.514,-2900240.046,-3046681.449,-2912713.726,-3030328.394,-2968099.253,-3056926.975,-2843103.827,-2690196.801
225.9,-3249065.417,-3120727.76,-3172214.019,-3104474.177,-3087902.286,-3026687.751,-2916513.524,-3066655.252,-2933304.251,-3035998.249,-2986740.144,-3073976.328,-2884841.915,-2676529.467
225.8,-3271585.681,-3155900.753,-3195868.254,-3138354.045,-3113744.887,-3047337.958,-2938158.442,-3085455.296,-2952343.026,-3043379.007,-3002894.256,-3085992.441,-2923158.195,-2667696.431
225.7,-3294961.397,-3194236.928,-3215324.808,-3175536.355,-3138692.247,-3069181.819,-2961414.793,-3102265.918,-2974365.935,-3053922.947,-3014253.859,-3094566.852,-2958709.178,-2661171.124
225.6,-3319729.71,-3229608.863,-3231459.026,-3212897.712,-3160118.329,-3094944.843,-2987695.067,-3113426.579,-2997841.122,-3064108.791,-3022271.233,-3099381.255,-2987396.653,-2657570.269
225.5,-3342807.013,-3262195.606,-3247553.455,-3247553.455,-3177684.931,-3123274.221,-3013557.561,-3123095.173,-3019048.368,-3077597.077,-3023604.146,-3102624.014,-3015407.724,-2654924.337
225.4,-3364730.45,-3294165.628,-3258714.116,-3282209.198,-3196087.091,-3149872.802,-3040255.613,-3131769.056,-3043597.844,-3093054.891,-3021236.733,-3101251.312,-3042046.094,-2657172.385
225.3,-3386633.994,-3325399.564,-3268581.653,-3312866.201,-3213753.164,-3178739.325,-3065640.647,-3138513.199,-3066595.57,-3109845.618,-3021077.579,-3100256.601,-3065083.608,-2662961.605
225.2,-3410885.056,-3355738.26,-3280060.622,-3339245.946,-3226127.373,-3207983.838,-3089533.613,-3149136.716,-3090329.382,-3132027.681,-3018173.022,-3103459.572,-3089473.93,-2670998.872
225.1,-3432549.869,-3383092.822,-3293250.494,-3362422.72,-3237506.871,-3240510.899,-3116908.069,-3158984.358,-3114600.338,-3160814.627,-3018252.599,-3108492.811,-3110303.186,-2681662.178
225,-3452722.615,-3410706.008,-3308390,-3382078.216,-3248150.282,-3275763.469,-3146311.736,-3167698.029,-3143029.188,-3189959.669,-3023146.578,-3115396.108,-3129580.691,-2702372.068
224.9,-3474984.255,-3435076.436,-3325021.574,-3396899.415,-3263409.154,-3310081.01,-3173109.259,-3173706.086,-3172154.336,-3219184.288,-3031681.202,-3122219.827,-3147147.293,-2724156.246
224.8,-3494958.058,-3458352.681,-3343503.311,-3406030.865,-3280319.247,-3341394.522,-3197977.042,-3179554.989,-3200404.138,-3243853.129,-3044572.661,-3125383.009,-3161908.809,-2749441.808
224.7,-3510833.651,-3476814.523,-3366341.883,-3411740.508,-3294623.196,-3374637.775,-3220238.682,-3186637.333,-3230523.997,-3272580.392,-3056151.101,-3126994.442,-3170901,-2779561.667
224.6,-3529812.743,-3492033.607,-3389180.455,-3413829.402,-3310260.058,-3406786.846,-3240650.159,-3193759.466,-3258336.126,-3298462.781,-3069599.598,-3128864.499,-3176292.335,-2812387.141
224.5,-3554262.748,-3504586.864,-3413073.421,-3411561.46,-3327687.4,-3435852.311,-3260265.866,-3197260.85,-3279821.891,-3317421.979,-3084221.854,-3131351.277,-3177366.624,-2843919.49
224.4,-3580622.598,-3512644.026,-3437225.012,-3404558.692,-3342190.292,-3458472.046,-3282706.554,-3204562.031,-3292017.052,-3333416.938,-3099341.467,-3134454.777,-3183314.997,-2879569.945
224.3,-3609628.381,-3514295.246,-3464022.536,-3396700.473,-3360950.547,-3477471.033,-3309901.962,-3216041,-3301148.502,-3347004.694,-3117087.117,-3142193.631,-3184966.218,-2916294.687
224.2,-3638176.596,-3515747.525,-3495952.769,-3388842.253,-3378318.207,-3496828.115,-3335167.63,-3225053.085,-3309523.971,-3357986.308,-3133599.325,-3149693.754,-3187015.324,-2953934.564
224.1,-3668395.926,-3514713.025,-3526331.254,-3382277.158,-3395665.973,-3509421.161,-3357727.683,-3234104.958,-3311951.067,-3365943.998,-3152299.898,-3164196.646,-3187850.881,-2990380.787
224,-3695969.324,-3513618.843,-3556232.276,-3377522.438,-3412854.585,-3520223.726,-3382197.581,-3245365.09,-3312090.327,-3372210.68,-3172651.692,-3179773.825,-3189044.535,-3026071.03
223.9,-3720777.425,-3515289.958,-3586471.501,-3377025.082,-3431555.158,-3523227.754,-3403305.356,-3258515.174,-3313661.971,-3375831.429,-3189899.986,-3193202.428,-3189979.563,-3058936.292
223.8,-3745625.314,-3518413.351,-3615437.495,-3381640.543,-3449081.971,-3526032.84,-3426163.822,-3276917.334,-3316288.008,-3374597.987,-3203627.003,-3209177.492,-3189442.419,-3092040.285
223.7,-3766872.348,-3522551.351,-3644184.652,-3389697.705,-3465793.122,-3532478.57,-3446674.77,-3293031.657,-3314139.432,-3370320.728,-3216777.087,-3228494.786,-3193301.899,-3118260.876
223.6,-3787005.306,-3527664.167,-3673051.175,-3398709.79,-3480932.628,-3539123.241,-3469752.073,-3312786.625,-3313144.721,-3365247.7,-3223919.114,-3246300.119,-3197042.014,-3144740.092
223.5,-3804313.283,-3534467.992,-3698575.468,-3413232.575,-3493326.732,-3542525.154,-3498519.125,-3324464.536,-3313482.922,-3356593.712,-3233607.602,-3260027.135,-3200006.254,-3168274.962
223.4,-3823968.779,-3546563.682,-3723303.992,-3432470.292,-3498379.865,-3544892.567,-3523526.168,-3338867.956,-3312607.576,-3348556.444,-3241227.091,-3271744.835,-3199727.734,-3190377.448
223.3,-3841157.391,-3559514.824,-3746421.083,-3451588.644,-3498280.394,-3548732.153,-3548891.307,-3350108.194,-3315432.557,-3344020.56,-3248030.917,-3285133.649,-3200145.513,-3206611.137
223.2,-3854546.205,-3572724.59,-3768642.934,-3471542.553,-3498419.654,-3555516.084,-3574952.744,-3363735.739,-3321102.411,-3340857.378,-3257918.347,-3299318.233,-3198235.667,-3217592.75
223.1,-3870501.375,-3588421.135,-3788537.161,-3497066.846,-3497146.423,-3561842.448,-3600695.873,-3377661.698,-3329159.573,-3339086.792,-3263826.933,-3312786.625,-3202731.763,-3226405.892
223,-3882915.372,-3606365.727,-3806561.33,-3525535.485,-3497981.981,-3566875.688,-3626041.118,-3392801.204,-3341613.359,-3337296.312,-3273117.537,-3327408.881,-3207247.752,-3235099.669
