WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,BCoh85ME,BCoh90ME
246.9,-112322.4383,-63148.54812,-139513.9486,-47317.1034,-122476.2317,-119473.336,-77473.9074,-192431.2432,-82961.54328,-284526.8136,-162363.1799,-211932.3924,-311893.5492,35170.65468
246.8,-132820.0405,-65544.0462,-150341.3191,-63609.29796,-122968.0658,-121259.1803,-77644.11912,-208891.1426,-94501.59708,-304892.0568,-164784.7487,-226959.9064,-318897.5484,16993.07077
246.7,-152111.3706,-70218.72684,-160771.8632,-79438.48656,-122810.8895,-124821.5938,-82494.27576,-223702.0691,-112376.0838,-326112.1188,-167059.6697,-239858.3951,-323630.3868,-474.5522808
246.6,-174540.9636,-71910.0648,-175054.3562,-97429.03812,-121820.7035,-130640.1272,-89340.34656,-240130.6336,-134414.1146,-347758.3368,-176423.069,-254194.5336,-331251.0588,-21223.42111
246.5,-198352.0541,-72758.36592,-188784.6012,-117429.2912,-119919.2957,-139525.4798,-99371.80812,-255756.27,-163022.719,-367060.6968,-190422.043,-270353.3664,-341556.5136,-37564.89936
246.4,-224253.5651,-72957.15516,-203100.936,-142080.1597,-115493.2896,-146283.0606,-109977.0762,-270202.9584,-189110.2345,-388977.6492,-208315.08,-285612.258,-353067.7392,-53121.5988
246.3,-248290.2676,-78130.93968,-218781.722,-165842.6183,-108110.5129,-156566.2049,-122186.947,-281137.62,-213473.8237,-410638.908,-233422.6874,-301695.8868,-365120.4336,-70877.2632
246.2,-269054.844,-87173.97,-236223.5351,-192558.3379,-100715.4529,-168047.5996,-136080.6353,-295940.274,-237938.437,-431984.31,-262577.2728,-318661.9092,-374844.3108,-84257.80956
246.1,-285236.238,-95826.44088,-251048.4996,-219439.005,-94515.1338,-186137.1697,-146615.4623,-315545.9568,-262542.1776,-450058.338,-293601.4296,-338315.2212,-390837.6948,-99410.41284
246,-298903.3116,-108651.731,-268503.348,-246715.4958,-88993.40544,-203095.421,-156347.1106,-334176.4944,-285286.374,-463316.8032,-329784.5808,-357725.3736,-408437.9376,-111827.0946
245.9,-310166.364,-121054.8761,-284870.2452,-272321.2044,-83699.04384,-220057.4326,-166654.3201,-351694.0128,-307942.8324,-476384.7516,-362668.7832,-378045.4944,-424245.8184,-119364.2902
245.8,-319378.854,-131780.7212,-297802.8264,-294744.5304,-85254.01188,-238181.8472,-179852.3714,-372685.956,-336094.1964,-490294.9848,-396345.1344,-400912.524,-441437.4528,-128258.9179
245.7,-332218.6836,-138845.8864,-308158.4172,-316200.2316,-86913.01212,-255801.3924,-196512.0629,-390328.8144,-361500.6144,-503009.4744,-427153.7064,-418710.804,-457884.5676,-136765.7437
245.6,-348197.0268,-146358.0139,-323580.2508,-338280.126,-88803.39,-272358.8064,-214304.5772,-409565.9976,-385758.918,-513643.32,-456124.794,-430851.2364,-482288.2656,-135160.8904
245.5,-360192.0648,-153435.2117,-338335.2756,-355988.1612,-88763.2812,-292200.1284,-238734.8473,-421759.0728,-406896.2556,-526513.2312,-484629.6168,-444886.8096,-508539.4752,-138448.0572
245.4,-371174.3556,-155626.4056,-356095.9536,-373738.812,-91510.23264,-311392.1892,-264733.1208,-429878.598,-426710.0028,-536545.4448,-510742.9524,-453755.868,-535497.6024,-141308.316
245.3,-381452.2356,-157315.7381,-370590.2712,-389446.4208,-102505.0574,-331271.1132,-291159.8064,-437855.2356,-445894.5432,-546204.1452,-533522.244,-462286.5084,-565331.0292,-147955.3469
245.2,-394332.174,-158275.0904,-384723.6096,-403868.0412,-117556.6367,-351490.962,-316084.9188,-444809.0988,-458641.6212,-557076.1368,-554817.51,-467826.5364,-590790.09,-161833.9944
245.1,-407039.1432,-163776.263,-396703.6068,-420157.2276,-132432.4892,-370615.3392,-340378.3176,-456598.5792,-470127.7788,-565524.0528,-569998.6908,-478889.0448,-617296.9932,-179567.3483
245,-419655.8676,-168031.3054,-412729.5792,-435975.1356,-152667.6295,-391574.694,-362372.9808,-472895.286,-479222.4492,-575117.5764,-583570.506,-491059.5588,-642390.0612,-196050.3103
244.9,-430916.4132,-178141.4804,-429966.336,-449276.2164,-172740.5798,-410413.296,-383146.8324,-492300.4248,-487359.522,-582572.7996,-592765.4484,-501530.4624,-657974.8368,-214200.545
244.8,-443049.3252,-190202.4473,-446253.0156,-461414.142,-195188.7232,-427637.5188,-403685.0448,-514648.5468,-492034.704,-594327.1848,-602519.4072,-510033.528,-670581.534,-230457.6444
244.7,-449504.3352,-207198.3006,-462539.6952,-473800.2408,-217053.0328,-443846.4876,-424764.726,-536751.0024,-500136.6816,-606379.8792,-602536.9548,-515761.566,-682533.9564,-243700.3168
244.6,-458877.2604,-224317.4885,-477262.1316,-484063.08,-241256.6881,-457824.4044,-446591.4336,-561793.9344,-510241.5924,-614298.8604,-600990.2592,-518980.2972,-694609.212,-250920.6528
244.5,-466741.092,-242524.3769,-490934.2188,-494100.3072,-269220.2928,-476098.9764,-468014.5464,-589867.5876,-521133.6384,-619324.9944,-599232.9924,-521670.0936,-707569.368,-261662.2908
244.4,-473110.8708,-262163.6508,-508887.9204,-505624.0668,-296223.5424,-492014.6496,-494762.1024,-619274.8584,-530661.9852,-627391.8768,-598636.374,-526139.718,-719225.988,-270060.0708
244.3,-480520.9716,-282940.0092,-522961.0956,-517767.006,-327734.0184,-509968.3512,-523668.0132,-648233.412,-542829.9924,-640427.2368,-596194.7508,-534592.6476,-729644.2488,-279573.3768
244.2,-490555.692,-305458.5936,-539282.8704,-534239.1888,-358164.0636,-530837.4612,-551831.9112,-678588.2532,-557417.0616,-658486.224,-601195.8168,-545770.4688,-740145.234,-292267.812
244.1,-498848.1864,-332058.2484,-553639.314,-554892.714,-386739.0768,-554271.0276,-582211.8204,-709349.196,-572881.5108,-674319.1728,-608711.2032,-560114.3784,-750295.2672,-294092.7624
244,-505807.0632,-362796.63,-569494.824,-576739.476,-414755.0736,-576528.9048,-609448.2024,-742278.5208,-588403.6164,-693488.6724,-620826.5676,-578419.032,-757830.708,-299813.28
243.9,-506356.0524,-394783.398,-584267.3964,-596122.0536,-443282.4576,-601133.1468,-637358.9136,-771199.4724,-607212.1368,-714793.9656,-641663.0892,-597851.7456,-765684.5124,-307890.1896
243.8,-507564.33,-429923.7204,-596658.5088,-617966.3088,-477913.8996,-625780.0044,-664863.5232,-801621.9972,-628758.0828,-736758.5472,-663946.0344,-616161.4128,-771565.4652,-311698.0188
243.7,-507970.4316,-468455.7432,-609754.032,-640299.39,-509855.5452,-651118.7388,-689939.0436,-833102.3916,-652201.6764,-757031.0388,-691954.5108,-639279.1224,-781803.2364,-317518.8084
243.6,-509078.4372,-506649.348,-627863.1552,-661993.2372,-538979.5476,-675349.4676,-716932.266,-861554.5716,-678114.468,-775744.3008,-722996.2152,-665738.3964,-795016.5792,-324327.2772
243.5,-507373.8132,-546236.7336,-645177.6228,-682829.7588,-566103.1236,-700028.9136,-744191.2092,-890595.8496,-704912.16,-797643.7056,-752298.2004,-696426.642,-807856.4088,-329526.3804
243.4,-505897.308,-585435.5652,-665974.0356,-705200.442,-595016.5548,-723956.3196,-770469.9936,-918829.938,-736783.6152,-821327.952,-787724.298,-722028.5904,-828379.5804,-334517.4192
243.3,-507025.368,-618891.318,-686279.1156,-728288.07,-621059.7,-747317.1888,-795500.3916,-943363.9896,-767699.9796,-844199.9952,-825955.5048,-747307.1616,-857162.658,-339270.312
243.2,-512337.2772,-652760.6928,-708649.7988,-756364.23,-647503.9332,-773578.4256,-816590.1,-967780.2216,-799593.996,-865337.3328,-862339.2,-775613.9472,-891277.6992,-346946.1336
