WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta80 ME,Beta85 ME,Beta90 ME
247,-144942.9693,-169020.9519,-124968.37,-119606.0801,-195240.5479,-104084.0077,-273611.2676,-171886.7152,-197759.3559,-93073.15004,-202563.0159,-221719.1668,-178151.4072,-121371.2949
246.9,-157645.2341,-175936.7819,-122517.4013,-126232.847,-205545.1605,-108706.4312,-279394.5193,-173134.879,-202539.1428,-87885.33255,-222526.8724,-229784.2863,-178986.169,-128628.3109
246.8,-167292.3425,-182544.6493,-121022.947,-130352.9414,-216216.4237,-115509.461,-285993.4343,-174164.4052,-208531.2839,-84536.93526,-241688.9915,-241581.5627,-178008.3677,-137396.8902
246.7,-179912.842,-187893.4111,-119156.8685,-137323.2816,-225662.2025,-123285.9152,-290972.9592,-173542.7107,-209716.9798,-85068.90688,-260389.5646,-254099.0101,-179506.204,-145549.1464
246.6,-194797.7024,-195815.8889,-118679.606,-143180.5398,-235265.1457,-130129.1313,-294963.7411,-174779.9326,-207608.1918,-84508.28757,-275230.6577,-271395.0508,-187034.3784,-153121.088
246.5,-205378.049,-202429.7246,-119520.535,-146209.4358,-241752.653,-138434.772,-299137.5499,-172713.3203,-211039.9459,-89234.36006,-288752.7635,-289753.4431,-196059.1953,-161091.3121
246.4,-215382.8556,-207246.1169,-121117.0467,-150264.675,-250018.7042,-145995.5729,-302963.2096,-170953.676,-214340.3981,-92856.70085,-304323.9747,-307761.6971,-205825.6691,-171577.9568
246.3,-228678.1673,-209502.1222,-122540.4786,-155110.1128,-257224.3931,-149566.9844,-303772.9047,-169665.1269,-215585.7767,-98105.39467,-317426.3124,-325578.9665,-216329.8208,-185314.9203
246.2,-241945.627,-211183.1843,-126608.8479,-160244.8127,-262335.2199,-148266.2999,-301626.3176,-163630.2133,-217851.7291,-107146.326,-326989.4672,-341967.8304,-228431.4789,-195823.8466
246.1,-250595.6368,-208772.0041,-130803.9435,-167340.8844,-264939.3742,-148367.3626,-299527.4767,-160813.5887,-220670.741,-121016.7798,-333232.2755,-355247.2267,-241523.8694,-207204.339
246,-252258.7941,-205216.9058,-136975.7294,-176112.6469,-262550.0776,-148146.3377,-296551.3004,-158676.3519,-225612.4669,-134612.4943,-338285.4091,-367159.8897,-255254.8647,-219160.7692
245.9,-251781.3327,-202033.8295,-145053.5812,-184592.561,-259520.1869,-148080.0899,-288981.5471,-157105.1059,-228652.3048,-153563.5356,-340197.2443,-374399.3988,-265388.9837,-229549.5344
245.8,-248148.6469,-203770.5955,-152627.5123,-189488.928,-256756.8788,-147516.8844,-283244.0522,-157572.0234,-234357.969,-171543.3409,-341812.6555,-380099.0947,-277856.6956,-235754.5437
245.7,-239856.7332,-210409.2989,-160835.2734,-193227.6501,-251667.9356,-150409.306,-278157.0984,-159846.7292,-240769.8782,-189768.044,-343467.8551,-384282.8506,-289184.4682,-242876.6768
245.6,-230015.0593,-219733.723,-169730.5789,-195059.9083,-246208.9598,-156347.1358,-273346.6744,-167018.2001,-245972.2185,-209460.3443,-344778.8847,-387831.9806,-299776.1545,-252636.7844
245.5,-217262.86,-232664.9703,-177534.0894,-193479.1131,-239240.0122,-160848.4036,-269940.7828,-176297.2653,-251198.4319,-228469.2779,-343266.9234,-391983.9057,-313793.6266,-263208.5765
245.4,-204807.0847,-244917.8245,-185207.2926,-191453.284,-234656.3824,-166977.4169,-263065.3381,-185095.686,-257819.2305,-246284.5579,-338008.8793,-391846.6355,-328640.688,-272676.239
245.3,-188264.4384,-256211.777,-192923.6663,-189510.8117,-231948.7781,-175933.7978,-255969.0674,-194704.0006,-266906.9132,-263942.6735,-331232.9057,-385916.1666,-341514.2421,-281596.8102
245.2,-175050.0962,-262540.1305,-202923.1014,-188964.7152,-229855.9055,-188507.148,-248433.1343,-208093.6109,-278881.2483,-283586.2329,-320975.4425,-377717.7558,-355306.9094,-292039.2898
245.1,-161417.9753,-269680.1684,-212559.8648,-190755.1956,-230046.8901,-201629.9767,-242771.2374,-225958.6265,-290091.645,-304920.8015,-310638.4023,-368715.6182,-367299.1493,-304566.6843
245,-149592.0512,-280482.7335,-221884.2889,-190264.405,-231714.0263,-216091.0901,-239783.1246,-247703.0162,-302008.2868,-325445.6752,-302247.0175,-358348.7367,-378145.4816,-315798.9647
244.9,-139125.1017,-290061.8036,-228268.3462,-190809.1089,-234441.5247,-233319.4903,-237224.727,-269507.0887,-314103.9766,-346274.9305,-300619.6697,-346312.7295,-382404.8356,-328706.3389
244.8,-132089.9063,-299199.222,-232613.2453,-190829.9979,-237819.5644,-251928.55,-238030.4432,-294852.3334,-323509.9669,-364305.0681,-299445.9104,-337091.7555,-383351.8008,-340887.5739
244.7,-123865.2351,-308539.5614,-235396.4476,-191245.5883,-238358.698,-272765.763,-242425.0779,-319489.3437,-329714.9762,-382649.5346,-297267.4925,-330431.1684,-380451.2225,-349720.6106
244.6,-113845.9058,-320635.2512,-236048.9782,-191223.7046,-239027.144,-297462.456,-245208.2802,-342037.4602,-335957.7846,-399977.406,-296380.21,-327075.0124,-376402.7474,-358521.8165
244.5,-105658.4368,-328258.7188,-236826.8425,-191009.2448,-240356.0783,-325258.6695,-249899.3389,-365663.8438,-340881.6057,-411979.5929,-297329.1646,-327876.7497,-372376.1559,-367452.3348
244.4,-99468.94497,-338076.5197,-239715.4842,-192122.1279,-242319.6385,-352961.3801,-256794.6778,-385476.5042,-346545.492,-424863.0941,-298829.1893,-332134.1142,-366471.5494,-375601.01
244.3,-100291.5712,-348548.8406,-239940.289,-193848.151,-244531.8765,-376746.9175,-263634.3129,-404624.6973,-351264.4026,-438102.702,-299996.9804,-341442.6229,-365248.0545,-383817.3257
244.2,-102480.9309,-357990.6406,-242359.4269,-198280.7836,-249031.9506,-399424.3465,-274084.7502,-423627.6626,-355042.3162,-448580.9911,-303253.6653,-353826.779,-368425.1625,-392986.5747
244.1,-107401.9668,-364388.6239,-246334.2934,-205497.4144,-253549.9294,-419784.098,-283037.1522,-437716.754,-360182.9844,-459162.7303,-312377.1577,-365454.9544,-370551.8553,-405909.8644
244,-119793.8816,-368208.3154,-252867.5575,-213775.4021,-264925.4483,-435958.1043,-292007.459,-451421.8867,-364685.0479,-467538.1997,-324572.3186,-377922.6663,-370518.0351,-419845.7702
243.9,-135796.7976,-370090.3093,-262066.6479,-221635.611,-279997.3144,-447771.2961,-304381.668,-463294.7612,-368287.8923,-478109.9918,-336240.2826,-392053.5355,-372149.3617,-430928.8438
243.8,-153486.7439,-368705.6711,-272525.0428,-232752.5049,-297979.7059,-458738.9833,-314573.4803,-471033.6154,-372455.7328,-487756.7023,-350522.3479,-405645.2712,-371289.9311,-439212.7998
243.7,-173383.9547,-362811.0117,-284833.6009,-245435.0744,-316960.7875,-467040.8441,-325795.8136,-480917.0672,-378242.9633,-496356.9765,-372487.5636,-419577.1981,-373927.9056,-452273.3596
243.6,-194097.6246,-354819.5009,-296754.2215,-259317.2658,-333721.6735,-469883.7291,-337101.7026,-488293.8464,-383041.4508,-503186.6645,-397741.2949,-433383.7914,-378801.9911,-467309.4161
243.5,-215625.5651,-347552.1399,-306486.4772,-275161.0279,-351230.5824,-468640.3399,-348503.0839,-492688.4811,-388164.2142,-506688.0484,-423828.5943,-446008.6676,-385078.6196,-481014.5489
243.4,-237186.928,-339853.0741,-319994.6571,-289021.3356,-368393.3317,-464484.4359,-358649.1395,-495024.0633,-391844.6461,-509033.5777,-452179.8568,-458892.1688,-396953.4835,-492272.6918
243.3,-254554.5879,-329468.2878,-337312.5814,-305292.8236,-385428.758,-459912.7427,-370949.7398,-496991.6023,-394395.086,-505482.4583,-475967.3836,-469609.1887,-409363.5021,-507989.1308
243.2,-273163.6475,-315785.0387,-358277.1175,-322978.7911,-404443.6599,-455350.9965,-381378.2935,-497735.6464,-399410.4205,-504583.2392,-496583.7707,-479578.1857,-425062.0364,-525824.305
243.1,-292504.8147,-301761.5983,-380906.8003,-340672.7163,-425368.4075,-449535.914,-389873.1283,-497449.1695,-406142.6268,-501829.8782,-515664.3235,-487921.8244,-445346.1899,-543410.8014
243,-313005.8153,-284746.0663,-401533.1345,-358529.7741,-446973.5376,-443541.7835,-396595.3874,-496132.1717,-416423.9632,-500791.3996,-530843.6184,-491759.4207,-465789.4972,-561832.8553
242.9,-331821.7748,-268080.6726,-424136.9548,-376736.9704,-467442.7075,-439190.9162,-404071.6378,-495334.4132,-426468.5582,-503697.9461,-541256.2567,-493559.8482,-486202.9632,-579357.6796
242.8,-353058.8618,-251570.4539,-446814.3838,-393941.4976,-489306.4626,-435514.4631,-410553.1769,-495272.7411,-437969.4106,-507825.9982,-551028.3008,-496034.69,-507497.7434,-598066.2103
242.7,-372688.4953,-238328.8566,-466631.023,-409868.8155,-512463.3424,-433471.326,-417842.4215,-495431.8949,-447108.8184,-511554.1762,-563320.9434,-495571.1545,-524714.2072,-615338.3779
242.6,-391773.0269,-227192.0685,-482954.236,-424310.0346,-532033.2932,-435289.6583,-421469.139,-495849.6737,-456606.3222,-513471.9797,-577553.2732,-494234.2625,-539481.6916,-629029.5847
