WL,Beta25 ME,Beta30 ME,Beta35 ME,Beta40 ME,Beta45 ME,Beta50 ME,Beta55 ME,Beta60 ME,Beta65 ME,Beta70 ME,Beta75 ME,Beta80 ME,Beta85 ME,Beta90 ME
236.6,-1226381.592,-1302719.719,-1366651.806,-1321772.42,-1305407.429,-1339382.789,-1276684.144,-1421464.379,-1300507.481,-1343908.726,-1399445.449,-1486689.591,-1443039.668,-1382272.752
236.5,-1262959.117,-1326793.723,-1392912.185,-1349479.109,-1342191.854,-1346847.103,-1296753.44,-1452584.918,-1321525.731,-1365255.231,-1410639.93,-1502620.887,-1459036.615,-1397434.143
236.4,-1301973.685,-1352121.063,-1419640.078,-1376660.591,-1385036.061,-1358206.706,-1313388.993,-1482491.909,-1346660.097,-1385672.676,-1421577.776,-1519336.016,-1476278.942,-1409517.896
236.3,-1341447.81,-1378184.489,-1448190.283,-1401594.025,-1426736.349,-1371599.5,-1329370.025,-1516017.659,-1371221.51,-1405252.574,-1429845.817,-1535629.388,-1494342.9,-1418866.193
236.2,-1385324.527,-1408340.158,-1473837.92,-1429093.815,-1464682.597,-1388244.999,-1338571.105,-1548506.921,-1394736.485,-1424874.249,-1436363.165,-1551077.255,-1514690.715,-1430814.666
236.1,-1433271.603,-1437918.894,-1498138.718,-1457825.057,-1498194.422,-1408598.783,-1347630.936,-1577568.407,-1414795.834,-1443582.78,-1448136.569,-1570203.565,-1532044.448,-1443956.792
236,-1483721.372,-1465713.118,-1524918.336,-1489003.289,-1529245.331,-1433784.874,-1355709.981,-1605454.145,-1434753.722,-1461549.256,-1466252.251,-1588623.629,-1549957.21,-1454385.345
235.9,-1532430.396,-1494800.467,-1552141.596,-1520257.119,-1560747.839,-1459301.209,-1359020.38,-1630103.092,-1452029.869,-1476897.652,-1486862.67,-1608032.437,-1568096.766,-1466031.426
235.8,-1582460.398,-1527321.559,-1584895.451,-1553321.324,-1590891.571,-1483940.208,-1366265.858,-1646702.834,-1468008.912,-1491907.846,-1512078.603,-1624761.492,-1584736.297,-1476016.338
235.7,-1630252.298,-1560829.405,-1615685.746,-1589697.917,-1619903.322,-1509138.236,-1377925.864,-1658370.798,-1483363.276,-1506659.415,-1539510.752,-1640537.614,-1604909.043,-1488376.621
235.6,-1675623.072,-1588207.84,-1646281.077,-1623945.829,-1650805.024,-1538768.697,-1396439.431,-1666073.843,-1502517.437,-1521233.926,-1564712.758,-1653721.518,-1625531.398,-1503305.249
235.5,-1719738.519,-1615852.857,-1677922.844,-1660230.909,-1679225.916,-1568100.745,-1418241.514,-1669453.872,-1519610.557,-1535971.569,-1595250.396,-1669660.772,-1647329.503,-1520649.035
235.4,-1760308.816,-1639343.96,-1712081.232,-1693543.791,-1705307.247,-1598127.101,-1439838.687,-1669587.163,-1540419.918,-1544603.674,-1623553.912,-1687881.894,-1669971.122,-1538016.695
235.3,-1796950.003,-1661189.81,-1741570.444,-1723198.125,-1732713.534,-1628280.781,-1462524.073,-1669101.744,-1558973.274,-1551823.289,-1651763.926,-1707449.856,-1690436.313,-1552875.693
235.2,-1830205.192,-1686230.673,-1773092.846,-1753522.895,-1756516.976,-1661531.991,-1489562.317,-1666867.623,-1578348.261,-1558557.484,-1684135.811,-1727375.913,-1714329.279,-1568295.708
235.1,-1859853.558,-1712773.551,-1804277.046,-1781456.379,-1779665.898,-1691041.097,-1514527.582,-1668029.445,-1598218.615,-1565383.194,-1719790.244,-1750172.707,-1740527.986,-1584002.2
235,-1889153.775,-1739773.995,-1836704.636,-1807525.773,-1802345.317,-1720892.385,-1543817.852,-1670635.589,-1616775.949,-1572925.095,-1753069.307,-1772356.76,-1762833.393,-1601433.522
234.9,-1919498.439,-1766281.063,-1869989.666,-1831760.92,-1824726.322,-1746633.524,-1572817.666,-1671701.92,-1634855.822,-1585201.822,-1783664.638,-1794343.859,-1783694.479,-1618578.366
234.8,-1944324.444,-1793701.275,-1905445.157,-1854897.906,-1846792.998,-1770997.984,-1609255.932,-1673398.897,-1653086.892,-1601944.803,-1811244.004,-1817098.875,-1802735.244,-1640975.287
234.7,-1969092.756,-1821447.753,-1942886.092,-1879918.875,-1869546.025,-1793743.053,-1648819.58,-1678052.157,-1664675.279,-1621707.728,-1837824.681,-1838700.027,-1820848.937,-1665204.465
234.6,-1989601.715,-1851028.479,-1981230.224,-1907862.306,-1892203.56,-1812779.839,-1689167.061,-1680497.157,-1676410.883,-1640828.069,-1864612.257,-1861461.011,-1837552.13,-1696858.169
234.5,-2009476.047,-1882934.84,-2022009.41,-1932662.449,-1922096.625,-1830919.395,-1731320.938,-1688013.196,-1690752.631,-1665924.636,-1888761.859,-1886583.441,-1850212.816,-1725523.761
234.4,-2027142.12,-1921042.231,-2063648.026,-1959422.173,-1955069.316,-1851665.094,-1778078.339,-1697200.35,-1704324.473,-1692584.889,-1910774.82,-1906334.429,-1866402.737,-1753960.568
234.3,-2043674.223,-1961045.542,-2105903.364,-1986056.564,-1991053.993,-1871595.13,-1822927.884,-1709926.687,-1717679.467,-1721135.094,-1933125.984,-1923932.862,-1882869.189,-1783511.452
234.2,-2063031.305,-2000822.059,-2151441.249,-2010411.076,-2027738.947,-1891582.86,-1866748.897,-1727847.406,-1731360.727,-1755908.213,-1953173.396,-1938435.753,-1902683.838,-1811954.228
234.1,-2083184.157,-2040331.993,-2192681.981,-2035517.59,-2064384.113,-1914335.887,-1908849.059,-1753041.455,-1746460.445,-1789989.013,-1969667.7,-1955526.883,-1920238.504,-1840289.575
234,-2105783.998,-2083005.109,-2231575.194,-2059927.806,-2101466.951,-1939257.385,-1947199.16,-1787177.958,-1768722.084,-1823644.076,-1983155.985,-1972431.008,-1937749.402,-1867206.464
233.9,-2134889.252,-2127090.715,-2270766.82,-2088674.964,-2137236.771,-1963217.991,-1984413.3,-1824859.613,-1788644.163,-1857810.421,-1995808.713,-1988201.161,-1957227.84,-1895712.901
233.8,-2167137.793,-2172509.235,-2305900.024,-2119272.284,-2171653.783,-1985459.737,-2014190.979,-1859839.632,-1807945.542,-1894107.437,-2007844.721,-2004681.539,-1979193.055,-1919828.683
233.7,-2205971.324,-2220295.167,-2342167.2,-2151182.624,-2205513.757,-2006094.029,-2043674.223,-1894177.067,-1829660.09,-1933106.09,-2022685.814,-2025471.005,-1999588.616,-1944608.932
233.6,-2246555.546,-2264858.235,-2380244.75,-2187768.107,-2241860.509,-2025252.169,-2076121.706,-1928637.847,-1854710.9,-1973352.11,-2034124.994,-2045424.915,-2022387.4,-1972486.712
233.5,-2290462.105,-2310157.389,-2419695.001,-2228332.435,-2279500.386,-2044111.896,-2109026.757,-1963096.637,-1882278.33,-2014429.71,-2046061.53,-2062752.786,-2044310.838,-2003845.981
233.4,-2337352.797,-2352711.14,-2462825.684,-2273870.32,-2316185.34,-2062474.267,-2141911.914,-1993878.973,-1912696.603,-2057918.489,-2059231.508,-2079961.292,-2066353.641,-2033508.273
233.3,-2381856.182,-2396020.871,-2504384.724,-2321218.579,-2353228.39,-2081871.138,-2172230.716,-2024118.198,-1942907.975,-2098104.827,-2072262.227,-2100432.451,-2090326.184,-2067527.401
233.2,-2425404.644,-2439967.218,-2542163.86,-2369143.771,-2386889.421,-2103018.701,-2203544.228,-2055491.393,-1979043.849,-2133854.752,-2086804.906,-2123012.399,-2113642.218,-2099457.634
233.1,-2471539.356,-2480551.44,-2578709.555,-2417347.482,-2418222.828,-2126772.408,-2231992.972,-2083880.455,-2015046.431,-2162999.794,-2107216.383,-2148019.442,-2136142.588,-2128562.888
233,-2514033.424,-2518609.096,-2614539.057,-2461691.714,-2447049.563,-2149352.355,-2258014.621,-2110618.296,-2055829.595,-2188504.193,-2128443.523,-2171295.687,-2158424.122,-2155201.257
232.9,-2557482.415,-2557144.213,-2645673.522,-2504464.301,-2476930.691,-2174677.705,-2285150.346,-2140220.905,-2097289.164,-2216137.274,-2150048.653,-2192721.769,-2179233.483,-2178397.926
232.8,-2603477.867,-2593650.119,-2676788.092,-2543158.572,-2501659.215,-2201176.815,-2310376.225,-2168928.274,-2140976.885,-2242914.903,-2173742.677,-2213610.707,-2204698.093,-2200102.527
232.7,-2648975.963,-2624386.699,-2703585.616,-2578232.093,-2523960.643,-2223836.339,-2331086.115,-2200699.354,-2184684.501,-2265037.283,-2198729.825,-2236369.702,-2230938.578,-2220195.696
232.6,-2694971.415,-2651025.069,-2729109.908,-2610122.539,-2547157.311,-2248704.123,-2355993.687,-2231992.972,-2227198.464,-2284533.625,-2220414.532,-2261078.332,-2254672.391,-2241084.634
232.5,-2737783.791,-2675097.083,-2750177.894,-2640461.234,-2569956.095,-2272577.195,-2378891.942,-2258114.092,-2263823.735,-2306715.688,-2239214.577,-2286741.884,-2278445.992,-2263604.899
232.4,-2773434.245,-2697458.194,-2775065.572,-2668631.459,-2593829.167,-2295734.075,-2399979.822,-2282166.212,-2301085.622,-2321894.983,-2258412.505,-2313459.831,-2302080.333,-2291178.297
232.3,-2806677.498,-2717213.161,-2799276.846,-2697478.088,-2613663.711,-2320104.502,-2419277.222,-2304388.063,-2335303.691,-2334408.451,-2278465.886,-2336974.807,-2323566.098,-2318393.599
232.2,-2836359.684,-2738818.291,-2823945.687,-2723559.419,-2634632.226,-2338367.402,-2436087.844,-2320959.954,-2367233.925,-2347021.391,-2299812.391,-2357804.062,-2345449.747,-2344833.026
232.1,-2864251.39,-2761915.488,-2852175.595,-2743234.809,-2659122.019,-2359833.273,-2451446.187,-2337929.729,-2397095.16,-2359972.533,-2328161.664,-2376484.741,-2368805.569,-2366716.675
232,-2889775.683,-2786564.435,-2879331.214,-2761079.931,-2683810.754,-2385059.152,-2465770.03,-2357505.648,-2423395.327,-2368825.463,-2357843.85,-2390271.44,-2393434.622,-2389933.238
231.9,-2914265.476,-2809323.43,-2909769.381,-2776239.331,-2708161.288,-2410941.541,-2479735.777,-2385218.306,-2448760.466,-2377300.404,-2388361.594,-2404575.389,-2416312.982,-2413070.224
231.8,-2940883.951,-2834171.319,-2941719.509,-2792473.02,-2729746.524,-2438733.776,-2496247.985,-2413826.204,-2476075.239,-2389037.998,-2419456.27,-2417566.319,-2438435.363,-2431293.335
231.7,-2966646.975,-2864728.852,-2968994.494,-2809243.853,-2751928.586,-2470226.337,-2507010.762,-2448581.418,-2504066.416,-2399024.9,-2454609.369,-2429423.278,-2458090.858,-2450988.62
231.6,-2995792.017,-2899822.267,-2994140.796,-2827884.744,-2773374.563,-2500783.869,-2515127.606,-2485644.362,-2528735.257,-2410861.964,-2494915.072,-2441638.333,-2481446.681,-2466605.587
231.5,-3027145.318,-2938218.125,-3019864.031,-2843461.923,-2798282.134,-2530525.738,-2529252.507,-2516878.298,-2553622.935,-2425663.269,-2532276.43,-2454867.994,-2506016.051,-2482083.296
231.4,-3062437.676,-2977071.55,-3048193.41,-2861008.631,-2826233.523,-2558974.482,-2541805.764,-2546620.167,-2578212.199,-2449416.976,-2566215.98,-2470166.654,-2528635.786,-2493999.938
231.3,-3102763.274,-3016123.916,-3083227.143,-2879828.57,-2855259.2,-2586925.87,-2555313.944,-2576501.296,-2609446.135,-2474782.115,-2597529.493,-2486877.804,-2545028.629,-2509696.482
231.2,-3144700.303,-3052032.996,-3118320.559,-2902786.507,-2887288.905,-2615533.768,-2572204.143,-2607317.453,-2639725.148,-2501599.532,-2625341.622,-2503588.955,-2562237.135,-2522349.211
231.1,-3187472.891,-3092239.228,-3154070.484,-2933164.991,-2919099.773,-2648558.185,-2589750.851,-2638810.014,-2670123.526,-2528675.575,-2659380.644,-2520618.413,-2580360.776,-2533828.179
231,-3229867.488,-3137498.593,-3191312.477,-2965890.994,-2952780.699,-2678220.477,-2609267.087,-2668213.681,-2698293.751,-2555333.838,-2692564.214,-2540850.841,-2598166.108,-2547475.619
230.9,-3272819.123,-3186597.545,-3227659.229,-3003530.871,-2984352.836,-2707106.894,-2631289.996,-2697259.251,-2726304.822,-2582171.15,-2724494.448,-2562794.173,-2614379.903,-2560486.443
230.8,-3317461.768,-3234622.208,-3260504.597,-3043359.113,-3012443.485,-2739633.954,-2657570.269,-2727776.995,-2759786.806,-2609903.702,-2758155.479,-2583245.438,-2628962.371,-2571328.797
230.7,-3367316.7,-3285173.438,-3295518.436,-3083326.614,-3038823.229,-2774190.226,-2684865.148,-2757857.066,-2791358.944,-2641276.898,-2790901.376,-2601309.396,-2641754.359,-2583444.381
230.6,-3419439.574,-3334491.226,-3331586.669,-3123711.894,-3065760.012,-2810636.449,-2713453.152,-2789827.088,-2823607.485,-2674261.525,-2821876.687,-2619651.873,-2655879.26,-2596335.84
230.5,-3477689.869,-3380546.361,-3367814.055,-3166225.857,-3093512.458,-2854483.325,-2748089.001,-2821578.274,-2856353.382,-2710986.268,-2848694.105,-2640839.225,-2671675.276,-2608332.058
230.4,-3543778.49,-3421966.14,-3401077.202,-3209117.809,-3115734.309,-2897116.653,-2784177.128,-2853249.883,-2886194.722,-2745403.28,-2872925.273,-2659977.471,-2687610.552,-2622576.325
230.3,-3611040.871,-3461953.536,-3434439.821,-3254237.915,-3136981.343,-2939968.817,-2820702.928,-2880763.598,-2915220.399,-2777234.043,-2892759.817,-2684288.216,-2701317.674,-2638849.802
230.2,-3678024.732,-3501582.836,-3468896.621,-3298224.051,-3157432.608,-2982005.318,-2857169.045,-2905611.487,-2942296.441,-2811253.17,-2908376.785,-2712816.537,-2713890.825,-2664592.931
230.1,-3742521.815,-3539839.433,-3503452.893,-3343403.839,-3175456.778,-3025414.52,-2890969.337,-2929106.569,-2964975.86,-2844436.74,-2920313.321,-2739236.07,-2726941.438,-2694016.493
230,-3805546.725,-3575350.628,-3543659.125,-3391149.983,-3196345.716,-3065262.656,-2926400.954,-2951447.786,-2986779.932,-2871254.158,-2933423.616,-2765794.862,-2740688.348,-2726463.976
229.9,-3872092.913,-3610463.938,-3582910.434,-3440388.194,-3216060.894,-3103996.716,-2960638.918,-2968855.234,-3000924.727,-2899464.171,-2943390.624,-2791060.53,-2756504.258,-2758632.941
229.8,-3937823.438,-3645557.354,-3627513.29,-3489208.627,-3239138.197,-3140104.737,-2994220.373,-2985924.48,-3011667.61,-2925764.339,-2955585.785,-2815769.16,-2777114.677,-2790145.396
229.7,-4000748.877,-3681506.222,-3673270.012,-3537273.078,-3262116.029,-3181584.2,-3029373.471,-3006077.332,-3019267.204,-2944504.7,-2970188.147,-2840796.097,-2799853.778,-2825775.956
229.6,-4062679.605,-3713038.571,-3717474.983,-3589515.317,-3285770.265,-3223660.489,-3064307.733,-3033909.355,-3025553.78,-2966408.244,-2986939.086,-2862938.371,-2823786.533,-2864311.073
229.5,-4123118.265,-3747992.727,-3764902.82,-3643528.143,-3310956.356,-3266731.49,-3100037.765,-3061164.446,-3032417.288,-2989087.662,-3010832.052,-2884583.29,-2848753.788,-2905691.064
229.4,-4182880.522,-3791521.295,-3811833.3,-3695750.488,-3333277.678,-3307514.654,-3131948.104,-3084938.047,-3039380.267,-3014094.705,-3036634.864,-2900259.94,-2876406.763,-2945101.527
229.3,-4244254.211,-3835766.055,-3858007.801,-3740691.546,-3357787.365,-3348795.175,-3158805.31,-3111178.531,-3047298.17,-3041011.594,-3060885.926,-2918841.148,-2907521.333,-2985069.029
229.2,-4304573.507,-3877722.979,-3904600.079,-3778928.25,-3383072.927,-3391707.022,-3185921.141,-3140005.266,-3056270.466,-3066436.416,-3084301.431,-2934298.962,-2939153.154,-3022072.29
229.1,-4362943.168,-3923061.922,-3957419.251,-3816667.598,-3415918.296,-3431137.379,-3212300.886,-3166066.703,-3073439.184,-3096456.804,-3102842.851,-2950035.295,-2970128.464,-3057185.6
229,-4417910.916,-3968520.23,-4010278.211,-3855202.715,-3454891.086,-3469970.909,-3234323.795,-3193659.995,-3091324.093,-3130993.181,-3124030.202,-2963722.523,-2998975.093,-3091483.247
228.9,-4466751.242,-4016445.422,-4061804.259,-3890733.803,-3492133.078,-3505860.094,-3250696.743,-3221213.499,-3113645.416,-3160933.992,-3145575.649,-2976395.146,-3028299.183,-3124507.663
228.8,-4510538.435,-4065802.998,-4110047.758,-3924693.248,-3530688.089,-3537850.011,-3267387.999,-3251134.416,-3135310.228,-3188666.544,-3168115.808,-2990699.095,-3059373.965,-3155343.715
228.7,-4543781.688,-4118363.545,-4158390.729,-3960164.654,-3570973.898,-3567651.562,-3284158.832,-3280617.66,-3159660.762,-3215782.375,-3192028.669,-3003431.4,-3092597.324,-3186657.227
228.6,-4576746.422,-4175559.447,-4209976.459,-3995258.07,-3613149.659,-3591922.519,-3301824.906,-3309603.548,-3188089.612,-3245703.292,-3211266.386,-3010135.754,-3124388.298,-3214668.299
228.5,-4610964.491,-4231860.108,-4254479.844,-4033275.937,-3654668.91,-3620530.417,-3317561.239,-3341195.58,-3221690.961,-3275783.363,-3229867.488,-3015168.994,-3154309.215,-3234542.631
228.4,-4641283.293,-4290707.231,-4293810.73,-4071273.91,-3698376.526,-3651386.362,-3336739.273,-3372867.189,-3256684.905,-3305982.799,-3249562.772,-3020361.387,-3186517.968,-3251651.666
228.3,-4673014.584,-4351245.362,-4337617.817,-4104835.471,-3740691.546,-3683893.529,-3353927.885,-3406707.269,-3294165.628,-3334789.639,-3268044.509,-3023783.194,-3218149.788,-3264702.279
228.2,-4703711.376,-4410351.11,-4379912.943,-4135989.83,-3786289.113,-3719822.502,-3374995.871,-3441939.944,-3334928.899,-3361010.23,-3288396.303,-3033312.528,-3246757.686,-3277235.641
228.1,-4738267.648,-4468163.732,-4421770.396,-4165134.872,-3828106.778,-3758556.561,-3397257.511,-3476257.485,-3377403.073,-3386176.427,-3309603.548,-3042841.863,-3271923.883,-3290087.312
228,-4779269.649,-4522196.452,-4462692.82,-4193126.049,-3866064.962,-3794027.968,-3420155.766,-3508187.719,-3421747.304,-3410785.585,-3334332.072,-3053823.476,-3289808.793,-3303734.751
227.9,-4812950.575,-4577462.614,-4504013.129,-4218968.649,-3902610.657,-3823948.885,-3441044.704,-3535562.175,-3464997.353,-3430182.456,-3357628.211,-3072165.953,-3307415.183,-3316128.855
227.8,-4845855.626,-4628710.142,-4545592.063,-4242423.942,-3937803.544,-3850746.408,-3461217.45,-3566358.438,-3504964.854,-3447530.222,-3381322.235,-3095362.621,-3322554.69,-3336440.86
227.7,-4880590.945,-4675342.209,-4587290.362,-4270435.014,-3975960.67,-3877623.508,-3483658.137,-3597075.124,-3540854.039,-3462530.469,-3403365.039,-3118559.29,-3331845.294,-3353231.587
227.6,-4915127.323,-4720223.584,-4628391.834,-4303658.372,-4014117.797,-3900322.821,-3509162.536,-3623355.397,-3573739.196,-3473870.178,-3426183.717,-3149912.591,-3334550.909,-3366520.931
227.5,-4951792.383,-4766875.546,-4666608.643,-4337040.884,-4050245.713,-3924056.633,-3534050.214,-3644383.595,-3601630.902,-3484951.262,-3448385.673,-3182360.075,-3336580.12,-3380387.207
227.4,-4987701.462,-4808116.278,-4707511.173,-4371159.483,-4084264.84,-3948526.532,-3566119.707,-3670445.032,-3630199.011,-3496649.067,-3471920.544,-3218667.038,-3339604.042,-3391905.964
227.3,-5023988.531,-4847228.327,-4746324.81,-4404183.899,-4118283.968,-3972777.594,-3598288.671,-3694775.671,-3653793.564,-3509620.103,-3494958.058,-3254397.069,-3343025.849,-3402688.635
227.2,-5065030.321,-4879118.773,-4786312.205,-4440928.536,-4149756.635,-3995397.33,-3632606.212,-3716619.532,-3676154.675,-3531643.012,-3523207.86,-3290883.081,-3346865.435,-3412834.69
227.1,-5106649.043,-4916738.755,-4825842.034,-4477136.029,-4176375.11,-4016624.47,-3665013.908,-3734225.922,-3696128.478,-3551676.498,-3551258.72,-3328721.9,-3356295.298,-3424791.121
227,-5148227.977,-4955552.392,-4865411.651,-4512687.012,-4201939.191,-4037374.148,-3695074.084,-3749405.217,-3714610.215,-3575131.792,-3574793.59,-3366043.469,-3369584.642,-3436966.387
226.9,-5188473.997,-4987542.308,-4902733.22,-4545452.803,-4231024.551,-4058999.173,-3726427.385,-3765559.329,-3734146.345,-3600198.517,-3598109.623,-3402330.539,-3386017.273,-3449837.952
226.8,-5227705.412,-5017323.965,-4941129.077,-4580068.757,-4260686.843,-4078097.63,-3756328.408,-3783225.403,-3751096.226,-3627473.502,-3623096.772,-3435514.109,-3404916.788,-3465216.189
226.7,-5261644.963,-5048518.113,-4978550.118,-4618066.73,-4295163.537,-4092501.05,-3783941.595,-3800990.947,-3768881.665,-3662407.764,-3647666.142,-3470329.006,-3422742.015,-3483817.291
226.6,-5291943.87,-5076628.655,-5010818.553,-4653995.704,-4325024.772,-4108834.21,-3811932.772,-3816170.242,-3781912.384,-3695790.276,-3667242.061,-3502895.855,-3441064.598,-3510276.613
226.5,-5321088.912,-5101237.813,-5046409.325,-4693764.263,-4352598.17,-4123038.688,-3834671.873,-3827927.73,-3791799.814,-3733072.057,-3680630.876,-3531344.599,-3465753.333,-3536536.992
226.4,-5343390.34,-5124673.212,-5078259.982,-4728579.159,-4378778.972,-4133980.513,-3855381.763,-3839884.16,-3801508.197,-3771209.29,-3691095.239,-3557167.305,-3494599.962,-3559753.554
226.3,-5365413.249,-5150595.39,-5108161.004,-4767193.853,-4408321.899,-4152382.673,-3876748.162,-3853869.801,-3810739.118,-3817264.424,-3698535.68,-3578653.07,-3526211.888,-3582154.454
226.2,-5392071.513,-5181172.816,-5139156.209,-4807041.989,-4438680.489,-4175997.12,-3899686.205,-3867497.347,-3819870.568,-3864095.434,-3702216.112,-3593772.682,-3556431.219,-3600675.979
226.1,-5416083.845,-5211412.041,-5162452.349,-4848939.231,-4468024.473,-4205559.94,-3924593.777,-3881005.527,-3832204.989,-3907504.637,-3708443.004,-3609369.756,-3589873.414,-3616869.879
226,-5435659.764,-5239602.16,-5189667.651,-4892348.433,-4500452.062,-4234824.348,-3949899.234,-3896443.446,-3845752.957,-3947989.388,-3716281.33,-3619416.34,-3628985.463,-3634715
225.9,-5455394.837,-5267215.346,-5217340.52,-4936056.049,-4526871.595,-4265620.611,-3974030.93,-3914586.981,-3859121.877,-3986265.88,-3726566.645,-3626160.483,-3667162.484,-3656698.121
225.8,-5476860.707,-5295962.504,-5243203.015,-4980042.185,-4554166.474,-4298426.191,-4001365.598,-3934083.323,-3871476.192,-4020643.104,-3741845.411,-3635829.077,-3705697.601,-3682461.144
225.7,-5504991.144,-5319258.643,-5266737.885,-5019969.897,-4574697.316,-4332365.741,-4028461.535,-3953301.146,-3882736.324,-4046605.069,-3758317.831,-3643806.662,-3742342.767,-3710412.533
225.6,-5531987.609,-5342216.581,-5287268.727,-5055500.986,-4592880.639,-4365529.417,-4055776.308,-3972717.912,-3895667.572,-4066200.883,-3774054.164,-3654808.169,-3773258.395,-3741387.844
225.5,-5556019.835,-5370446.489,-5303601.887,-5085203.067,-4610805.338,-4397957.007,-4082613.62,-3996849.608,-3905177.012,-4076386.727,-3784001.277,-3670464.926,-3800792.005,-3775028.981
225.4,-5586438.108,-5397880.627,-5321745.422,-5116516.579,-4628232.68,-4434443.018,-4111519.931,-4026492.006,-3915243.491,-4079032.659,-3798742.899,-3689344.547,-3821541.683,-3811932.772
225.3,-5619741.043,-5425115.824,-5338993.716,-5149043.64,-4645301.927,-4472063.001,-4141938.204,-4058979.278,-3927896.219,-4078833.717,-3814121.137,-3709119.408,-3836999.497,-3843882.9
225.2,-5656803.987,-5452430.597,-5355426.348,-5183162.239,-4659546.193,-4512149.868,-4174087.274,-4093714.598,-3939932.226,-4076545.88,-3832821.71,-3734385.076,-3846687.986,-3873027.942
225.1,-5697268.844,-5484460.302,-5375479.728,-5211173.31,-4674128.661,-4553231.446,-4206335.815,-4125883.563,-3958712.376,-4076068.419,-3853571.388,-3761341.753,-3856456.051,-3900143.773
225,-5740996.355,-5513764.498,-5398537.137,-5239880.679,-4687557.264,-4594551.754,-4239499.491,-4162150.738,-3984276.457,-4077839.005,-3871416.509,-3788139.277,-3866960.203,-3924951.873
224.9,-5782853.807,-5541735.78,-5418749.671,-5268210.058,-4701503.117,-4634658.515,-4269778.504,-4196269.337,-4010198.635,-4078992.87,-3893757.726,-3810778.906,-3877404.672,-3950317.012
224.8,-5822204.588,-5566464.304,-5439181.042,-5293535.408,-4709739.327,-4672377.969,-4300017.729,-4229572.272,-4042108.974,-4080305.889,-3924136.21,-3834632.084,-3886516.227,-3971603.835
224.7,-5858034.09,-5594236.644,-5463909.566,-5318960.23,-4720521.998,-4706516.462,-4328148.165,-4263651.082,-4072328.304,-4080862.928,-3953838.29,-3857032.983,-3902670.339,-3996750.137
224.6,-5891874.17,-5619343.158,-5489990.897,-5340923.456,-4740456.013,-4737869.763,-4355960.294,-4296337.297,-4105869.971,-4078992.87,-3983958.15,-3879612.931,-3919043.288,-4020165.642
224.5,-5921138.577,-5643932.423,-5515714.132,-5359703.606,-4763871.518,-4767273.43,-4380052.203,-4330754.309,-4139948.781,-4079072.447,-4018454.739,-3898214.033,-3938619.207,-4042566.541
224.4,-5950820.763,-5666950.043,-5548818.125,-5374126.921,-4789515.176,-4791683.646,-4395251.392,-4365330.475,-4172157.534,-4083469.071,-4053587.943,-3919282.019,-3954474.906,-4064867.969
224.3,-5975907.383,-5694583.124,-5578420.734,-5382203.977,-4817924.131,-4818361.804,-4404860.303,-4399966.323,-4207509.575,-4096221.271,-4086751.619,-3946517.215,-3967465.836,-4085398.811
224.2,-6000934.32,-5718197.571,-5614528.756,-5387097.956,-4850311.932,-4846830.443,-4414150.907,-4428852.741,-4244731.673,-4111301.094,-4114484.171,-3968898.22,-3984117.303,-4102806.26
224.1,-6023832.575,-5745174.142,-5650736.248,-5392509.186,-4887653.396,-4872056.322,-4417234.512,-4457818.735,-4280859.588,-4131732.465,-4140963.386,-3984833.496,-4002260.838,-4112952.315
224,-6042314.312,-5778218.453,-5686466.279,-5396587.503,-4928993.599,-4892607.058,-4418845.945,-4488197.219,-4317106.869,-4157953.056,-4169093.823,-4002937.242,-4016704.047,-4122163.342
223.9,-6060159.433,-5816375.579,-5723986.791,-5409280.019,-4974929.368,-4918011.986,-4424913.684,-4518237.501,-4353453.621,-4190937.684,-4197642.038,-4019190.825,-4028740.054,-4126201.87
223.8,-6078959.477,-5855626.889,-5770121.502,-5425652.968,-5021859.849,-4941944.74,-4430344.808,-4541991.208,-4392605.46,-4224200.831,-4224698.186,-4034529.274,-4044138.185,-4120134.131
223.7,-6096307.243,-5894162.006,-5817270.82,-5446024.656,-5071376.579,-4963709.024,-4434821.009,-4566878.885,-4429628.615,-4260905.679,-4253027.565,-4048296.079,-4062023.095,-4107580.874
223.6,-6113674.903,-5933592.363,-5871184.174,-5465600.575,-5123618.818,-4980957.319,-4440470.969,-4588046.342,-4458694.081,-4293174.115,-4277537.253,-4060590.711,-4082056.581,-4094908.252
223.5,-6129092.928,-5974435.21,-5919706.193,-5482033.206,-5168002.838,-4996474.816,-4450219.14,-4603543.945,-4479344.288,-4324427.945,-4303001.863,-4079450.438,-4103701.5,-4081300.601
223.4,-6152687.481,-6013109.587,-5966636.673,-5493989.636,-5214973.107,-5012012.207,-4467328.175,-4620633.086,-4494046.121,-4351285.151,-4331888.28,-4103641.817,-4120293.285,-4066698.238
223.3,-6183563.321,-6055941.857,-6011537.943,-5504255.057,-5258780.194,-5028285.684,-4485312.556,-4640228.899,-4507275.782,-4369468.474,-4358586.332,-4135512.368,-4132707.282,-4050663.492
223.2,-6218258.852,-6106254.356,-6054708.415,-5514739.315,-5307481.261,-5048339.065,-4507395.147,-4664420.278,-4517083.636,-4385821.528,-4380091.991,-4167820.592,-4135989.83,-4038866.215
223.1,-6260494.296,-6164385.286,-6092427.869,-5527789.927,-5356142.54,-5067895.09,-4535446.007,-4686761.495,-4524484.288,-4397937.112,-4398533.939,-4202356.97,-4134338.609,-4028043.756
