WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,Bcoh 85ME,Bcoh90ME
221.7,-17264181.19,-17177596.32,-17483526.19,-16914081.5,-16509885.07,-16334033.05,-16359602.41,-16152741.28,-15869899.03,-15908403.48,-15970095.83,-15374455.08,-15463797.43,-15138615.34
221.6,-17296744.52,-17219710.56,-17522506.93,-16945667.18,-16595517.36,-16356870,-16416180.89,-16187460.46,-15904643.28,-15952347.68,-16008249.32,-15435746.34,-15491046.35,-15181982.98
221.5,-17331789.59,-17255983.96,-17553365.64,-16983244.12,-16672827.07,-16370933.15,-16468648.21,-16224761.64,-15935928.14,-15997996.51,-16042717.82,-15491572.78,-15520651.66,-15226253.06
221.4,-17368489.14,-17293861.7,-17572041.3,-17022400.33,-16741939.55,-16393669.82,-16515600.58,-16267352.17,-15970973.21,-16038330.92,-16073025.04,-15555195.36,-15554719.07,-15271576.01
221.3,-17415792.46,-17335148.7,-17579511.56,-17062133.11,-16813684.16,-16412972.18,-16559193.83,-16317212.42,-16014441.12,-16072523.68,-16092929.03,-15617639.75,-15592546.68,-15319205.21
221.2,-17462619.48,-17385184.43,-17586630.88,-17107155.24,-16889690.34,-16429216.25,-16609204.49,-16374893.89,-16069941.67,-16117696.21,-16117144.72,-15671761.56,-15627240.79,-15366859.48
221.1,-17509697.18,-17430407.1,-17595279.34,-17155812.23,-16953463.33,-16447591.09,-16655204.27,-16429817.88,-16129177.36,-16165200.07,-16140357.68,-15724153.68,-15666672.76,-15420154.04
221,-17553892.07,-17474777.46,-17600668.96,-17201260.51,-17013776.94,-16462656.96,-16699875.44,-16473887.42,-16192524.19,-16214934.98,-16171692.68,-15777999.74,-15704525.44,-15464449.2
220.9,-17598437.9,-17512880.82,-17601320.72,-17252073.35,-17076948.3,-16474012.76,-16747604.92,-16512742.82,-16253915.72,-16266600.13,-16197713.27,-15830567.34,-15736637.54,-15507089.87
220.8,-17640000.65,-17552037.04,-17604253.68,-17301958.67,-17132950.21,-16492061.72,-16795309.32,-16547261.46,-16316109.43,-16319543.75,-16232983.94,-15877269.02,-15757443.98,-15535918.07
220.7,-17682039.68,-17583898.46,-17604203.54,-17348384.6,-17185442.6,-16513244.18,-16832435.03,-16574359.97,-16376698.79,-16369128.25,-16267226.83,-15921087.89,-15770303.87,-15560259.1
220.6,-17719616.62,-17612400.78,-17604504.36,-17389621.46,-17237258.16,-16526053.93,-16872067.54,-16595091.2,-16429216.25,-16421119.28,-16290364.6,-15960494.78,-15789656.36,-15580614.31
220.5,-17752581.04,-17634134.74,-17610921.77,-17433741.14,-17283508.62,-16546384.08,-16907288.08,-16618705.26,-16473812.22,-16471806.78,-16310068.04,-16007046.06,-15817732.52,-15601521.02
220.4,-17783013.59,-17667349.84,-17611122.31,-17476256.47,-17321486.64,-16571376.88,-16939274.84,-16649037.54,-16518734.08,-16530114.95,-16317638.58,-16039408.85,-15841873.01,-15627090.38
220.3,-17820916.4,-17712447.17,-17626764.74,-17528347.78,-17346303.96,-16593436.72,-16982116.06,-16680848.83,-16559494.64,-16590578.96,-16324782.96,-16067284.46,-15869873.96,-15660932.18
220.2,-17861727.11,-17761580.45,-17659929.71,-17585327.34,-17365004.69,-16616775.02,-17027764.88,-16710654.68,-16594815.46,-16645402.68,-16323930.65,-16101727.9,-15910208.38,-15696378.34
220.1,-17893613.6,-17815276.1,-17688933.38,-17638045.34,-17387992.04,-16639887.72,-17075218.61,-16743443.63,-16619357.03,-16698446.57,-16323780.24,-16145095.54,-15949715.54,-15736537.27
220,-17922466.87,-17881881.78,-17717561.04,-17690186.78,-17404561.99,-16663677.25,-17126633.08,-16770341.59,-16646254.99,-16746702.47,-16324106.12,-16179538.97,-15982830.37,-15786297.25
219.9,-17959843.26,-17954453.64,-17744709.68,-17740723.87,-17415917.8,-16686113.11,-17176869.35,-16789844.5,-16671849.42,-16786460.32,-16322251.09,-16211976.96,-16010630.78,-15841496.99
219.8,-18000428.35,-18024543.77,-17780406.52,-17782637.57,-17444019.02,-16702708.13,-17219560.15,-16814135.39,-16693959.4,-16818647.63,-16323454.36,-16254793.1,-16030509.71,-15889126.19
219.7,-18037980.22,-18088091.15,-17820089.16,-17817983.45,-17479039.02,-16714164.2,-17271776.8,-16836847,-16711130.98,-16836496.04,-16317588.44,-16296731.87,-16053346.66,-15933822.43
219.6,-18075306.47,-18145948.09,-17857440.48,-17833450.4,-17512504.8,-16733616.97,-17322113.34,-16853692.69,-16716495.53,-16849381,-16312850.59,-16351731.06,-16073752.01,-15974056.57
219.5,-18120353.66,-18198365.28,-17898953.09,-17841973.52,-17539277.42,-16750161.85,-17369943.08,-16865599.99,-16718024.68,-16858405.48,-16303675.7,-16417133.47,-16087564.48,-16005617.18
219.4,-18170865.68,-18243237,-17938535.46,-17830517.45,-17560108.93,-16772848.39,-17411305.28,-16879312.19,-16712835.6,-16861338.43,-16288609.84,-16477998.58,-16101702.83,-16032515.15
219.3,-18211726.52,-18277830.84,-17978167.97,-17811265.22,-17589313.15,-16796286.97,-17447202.66,-16904179.64,-16715116.79,-16860636.53,-16275273.66,-16532571.61,-16119400.84,-16059613.66
219.2,-18247122.54,-18302974.04,-18010856.64,-17797452.76,-17620848.7,-16828248.67,-17478261.91,-16928696.15,-16720706.95,-16855648,-16258553.3,-16581028.06,-16133238.37,-16091299.61
219.1,-18285551.78,-18322627.36,-18044096.81,-17792614.63,-17646969.55,-16859809.28,-17504031.82,-16951959.25,-16739332.48,-16848904.7,-16246520.66,-16615471.49,-16147627.4,-16123712.53
219,-18323304.19,-18349074.1,-18078364.76,-17778501.35,-17664040.86,-16897862.51,-17519849.72,-16980887.72,-16761317.11,-16837724.38,-16238724.52,-16641717.68,-16155924.91,-16164046.94
218.9,-18366045.13,-18364691.46,-18107443.64,-17764889.42,-17689835.83,-16932406.21,-17536394.6,-17011495.75,-16795810.68,-16820703.2,-16234362.68,-16651143.25,-16169035.48,-16196760.68
218.8,-18403722.34,-18368426.59,-18133739.98,-17763285.07,-17717059.68,-16971587.5,-17548276.84,-17031424.81,-16820151.71,-16803306.01,-16246896.68,-16651293.66,-16187886.61,-16216188.38
218.7,-18441374.47,-18365719.25,-18155799.82,-17755513.99,-17742328.22,-17008161.71,-17554418.5,-17037014.98,-16845470.39,-16786284.84,-16265547.28,-16640915.51,-16208592.78,-16231254.25
218.6,-18472759.61,-18350327.5,-18171291.84,-17737414.9,-17768825.1,-17043632.93,-17557351.45,-17033480.39,-16867630.5,-16773901.25,-16289311.74,-16626601.68,-16229975.78,-16247147.36
218.5,-18496574.21,-18325234.43,-18187310.29,-17716583.39,-17792539.43,-17081059.45,-17573194.43,-17030948.52,-16890216.77,-16764951.97,-16321273.44,-16604742.38,-16249980.05,-16268179.42
218.4,-18513595.38,-18301495.03,-18199744.02,-17691540.46,-17815451.58,-17123273.96,-17586179.65,-17030747.98,-16917465.68,-16763447.89,-16369955.5,-16576365.41,-16263967.99,-16286303.58
218.3,-18521165.92,-18268330.07,-18214860.02,-17672062.62,-17841196.42,-17165989.84,-17600719.09,-17024806.86,-16948800.68,-16760840.82,-16415102.96,-16543250.58,-16274621.89,-16306784.14
218.2,-18519285.82,-18240955.81,-18229299.19,-17660105.18,-17856863.92,-17217955.8,-17623180.02,-17022325.13,-16981263.74,-16765202.65,-16456364.89,-16508606.6,-16284774.43,-16331626.52
218.1,-18514372.49,-18214985.36,-18242184.14,-17658275.22,-17863130.92,-17272202.95,-17647170.1,-17025884.78,-17016609.62,-16784680.49,-16507227.86,-16473361,-16295503.54,-16362384.96
218,-18509283.68,-18207815.92,-18244766.15,-17663514.43,-17867392.48,-17328906.77,-17670508.4,-17033505.46,-17065692.77,-16814361,-16559619.98,-16431748.12,-16297634.32,-16388355.41
217.9,-18503192.16,-18212127.61,-18251960.66,-17683268.02,-17865913.46,-17376360.49,-17688231.48,-17047668.88,-17126031.44,-16848052.39,-16613215.37,-16385221.91,-16296756.94,-16415328.58
217.8,-18500685.36,-18220625.66,-18255269.64,-17718062.4,-17867743.43,-17419251.84,-17702896.26,-17066444.81,-17179626.83,-16873822.3,-16665131.2,-16348998.65,-16293949.32,-16436636.38
217.7,-18501437.4,-18237671.9,-18245417.92,-17758622.42,-17872731.96,-17450010.28,-17723126.14,-17086599.48,-17219108.93,-16903653.22,-16710980.57,-16319644.02,-16280588.08,-16455537.65
217.6,-18516779.02,-18261160.62,-18242384.69,-17805173.7,-17873358.66,-17473198.18,-17740347.85,-17100487.15,-17254655.35,-16935464.51,-16744571.69,-16290840.89,-16257575.65,-16459573.6
217.5,-18544378.88,-18286805.18,-18237020.14,-17844179.51,-17885140.62,-17480818.85,-17764463.27,-17120466.35,-17281377.84,-16953237.72,-16776433.12,-16278557.57,-16241156.11,-16454309.32
217.4,-18578997.79,-18307962.58,-18234037.04,-17878898.69,-17907375.94,-17481495.68,-17785395.05,-17145709.82,-17292207.22,-16978380.92,-16801375.78,-16279159.2,-16234462.96,-16434605.87
217.3,-18609154.6,-18330849.66,-18223333.01,-17906423.35,-17924096.29,-17475404.16,-17810663.59,-17161928.82,-17287895.52,-16991316.01,-16819499.94,-16290038.71,-16239050.4,-16417283.88
217.2,-18646781.66,-18348748.21,-18217391.89,-17923920.82,-17929059.76,-17475454.3,-17831119.08,-17179676.96,-17268041.66,-16998360.12,-16836120.02,-16325885.95,-16240253.66,-16383291.67
217.1,-18684659.41,-18355867.52,-18216238.76,-17934298.97,-17933170.91,-17466730.63,-17845081.96,-17205547.14,-17248789.44,-17010493.03,-16844743.42,-16358073.26,-16236919.62,-16348371.95
217,-18713211.86,-18358549.8,-18205785.41,-17935953.46,-17940992.12,-17460112.68,-17849218.18,-17246733.86,-17231993.88,-17017436.87,-16853015.86,-16390461.12,-16224235.21,-16318165.01
216.9,-18736098.95,-18373014.04,-18200044.84,-17953952.28,-17956810.03,-17444971.61,-17848741.88,-17299677.48,-17218632.64,-17021548.02,-16864371.66,-16422673.5,-16212152.44,-16280537.94
216.8,-18761818.72,-18391990.51,-18199317.86,-17974382.7,-17971399.61,-17432989.1,-17831244.42,-17346404.23,-17199029.46,-17019768.19,-16863820.16,-16456064.08,-16203127.96,-16241607.34
216.7,-18789543.92,-18418136.44,-18196660.66,-17986290,-17978318.38,-17427424.01,-17797979.18,-17399448.12,-17173409.96,-17012523.54,-16857979.32,-16481533.16,-16212352.98,-16198465.31
216.6,-18824939.94,-18449747.18,-18175954.49,-17983582.66,-17985212.08,-17423513.4,-17754661.68,-17447729.09,-17141849.35,-17006231.47,-16846824.06,-16506927.05,-16231354.52,-16156601.75
216.5,-18850960.52,-18474965.59,-18152265.23,-17994036.01,-18010355.28,-17415416.44,-17720393.72,-17481871.7,-17102567.8,-16998610.8,-16844216.99,-16531067.53,-16261686.8,-16102981.3
216.4,-18868658.53,-18487424.39,-18131433.72,-18009553.1,-18030083.8,-17411806.64,-17676248.98,-17497614.41,-17047744.08,-17002947.56,-16846147.22,-16556411.28,-16296932.41,-16060816.92
216.3,-18886682.42,-18486923.03,-18108070.34,-18010204.87,-18045851.57,-17395988.74,-17638797.38,-17510624.7,-16999588.45,-17004025.49,-16850659.46,-16573883.68,-16330297.92,-16038506.4
216.2,-18889464.97,-18472408.66,-18077362.04,-18006720.42,-18061092.91,-17389370.78,-17599215.01,-17519223.02,-16947797.96,-17013877.21,-16868783.63,-16608176.7,-16378077.53,-16017499.42
216.1,-18879863.93,-18455312.28,-18047631.4,-18000303.01,-18070693.96,-17393256.32,-17566927.43,-17525013.73,-16913479.87,-17028767.6,-16901773.12,-16639035.41,-16429391.72,-15999676.07
216,-18858756.67,-18431422.48,-18007547.66,-17993233.84,-18082200.17,-17411104.74,-17526743.42,-17530679.1,-16887434.22,-17047317.92,-16942583.82,-16668515.38,-16477221.47,-15982404.22
215.9,-18831608.03,-18408936.48,-17971800.7,-17987894.35,-18078991.46,-17434217.44,-17490745.78,-17537873.62,-16879638.07,-17067547.8,-16985399.96,-16706769.14,-16521491.56,-15970797.73
215.8,-18805537.31,-18389784.53,-17934750.19,-17981577.22,-18061393.73,-17461942.64,-17451940.51,-17546421.8,-16886857.66,-17096275.73,-17027915.29,-16752568.38,-16564182.36,-15981752.45
215.7,-18779993.02,-18380810.18,-17893488.26,-17973781.07,-18042718.07,-17481771.43,-17406692.77,-17549881.19,-16910045.56,-17138966.53,-17078753.2,-16789192.73,-16604792.52,-15994512.06
215.6,-18755902.67,-18383041.24,-17840419.31,-17978518.92,-18029632.57,-17503756.07,-17368890.23,-17553490.98,-16948725.48,-17184189.2,-17130819.43,-16821630.72,-16632016.37,-16001781.78
215.5,-18719503.93,-18397104.38,-17798981.9,-17998623.46,-18014892.59,-17512053.58,-17322263.75,-17557451.72,-16990939.99,-17236004.76,-17172557.65,-16846498.18,-16648410.84,-16022889.04
215.4,-18688168.93,-18421570.75,-17749547.81,-18028629.85,-18000478.49,-17520050.27,-17286140.76,-17553240.3,-17025433.56,-17269821.49,-17215348.73,-16874323.66,-16660944.84,-16049385.91
215.3,-18668941.78,-18441173.93,-17700314.26,-18059338.15,-17986716.16,-17525013.73,-17256460.25,-17540656.16,-17061305.87,-17312888.32,-17250544.2,-16899040.7,-16674105.54,-16075556.9
215.2,-18651344.04,-18453006.02,-17658926.99,-18085709.69,-17975761.44,-17531180.46,-17227857.66,-17517844.28,-17099133.48,-17350791.13,-17287394.16,-16918618.81,-16685987.77,-16103006.36
215.1,-18640314.12,-18451702.49,-17620322.27,-18113585.3,-17967438.86,-17539051.81,-17216075.7,-17487512,-17135707.69,-17381173.55,-17324344.39,-16936066.14,-16700151.19,-16137850.88
215,-18635275.45,-18437137.98,-17587458.12,-18151738.8,-17959993.67,-17538450.18,-17207001.08,-17461190.6,-17165864.5,-17408171.78,-17360592.72,-16957223.53,-16697644.39,-16187460.46
214.9,-18620585.6,-18412245.46,-17571966.1,-18193577.29,-17945805.18,-17529250.22,-17209031.59,-17443392.32,-17190080.18,-17424315.58,-17396038.87,-16981840.31,-16678918.6,-16247949.54
214.8,-18607099.02,-18384194.36,-17565022.26,-18219096.52,-17915999.33,-17519273.16,-17206449.59,-17431058.87,-17219560.15,-17439130.76,-17421533.03,-17014253.23,-16652070.77,-16301996.15
214.7,-18588924.72,-18359677.86,-17566601.54,-18232457.76,-17882358.07,-17502377.33,-17209883.9,-17416694.9,-17257563.24,-17452291.46,-17432713.36,-17028918.01,-16613666.59,-16364841.62
214.6,-18571577.66,-18355366.16,-17573846.2,-18248726.89,-17846385.49,-17491146.86,-17205120.98,-17417923.24,-17296970.14,-17459836.93,-17437250.66,-17036388.28,-16569246.1,-16415629.39
214.5,-18556060.57,-18373214.58,-17600969.77,-18264018.37,-17807855.98,-17476431.95,-17207051.22,-17418173.92,-17321311.16,-17463948.08,-17431159.14,-17035962.12,-16532346,-16472659.09
214.4,-18541295.52,-18388054.84,-17639298.74,-18275298.97,-17769777.68,-17468059.24,-17203516.63,-17415366.3,-17330937.28,-17474426.51,-17403082.98,-17028642.26,-16485619.25,-16538236.98
214.3,-18529388.22,-18405677.64,-17685925.22,-18277454.82,-17723552.29,-17456603.16,-17198653.44,-17412884.57,-17338006.45,-17483225.38,-17367486.42,-17006883.24,-16445911.54,-16618705.26
214.2,-18512617.73,-18419891.2,-17729819.29,-18290440.04,-17687028.22,-17442715.49,-17203240.88,-17404988.15,-17337805.91,-17490068.94,-17341741.58,-16966298.15,-16405251.24,-16687717.46
214.1,-18494744.24,-18428013.23,-17784668.08,-18316611.04,-17656044.17,-17425318.3,-17220262.06,-17402631.76,-17321461.57,-17499469.44,-17335599.92,-16906210.15,-16353034.6,-16748532.43
214,-18487399.32,-18413749.54,-17842700.5,-18348146.58,-17623280.29,-17424340.64,-17231818.4,-17411530.9,-17299928.16,-17507641.61,-17329132.38,-16850483.99,-16306132.37,-16817168.62
213.9,-18477271.85,-18391489.15,-17902587.95,-18360404.83,-17601696.74,-17427599.48,-17254755.62,-17429529.72,-17279823.62,-17497113.05,-17317475.76,-16796963.81,-16267627.92,-16883974.84
213.8,-18462356.39,-18365318.16,-17958940.81,-18368526.86,-17591619.41,-17446074.6,-17289123.85,-17444294.77,-17269896.7,-17498140.84,-17315044.16,-16744195.67,-16248024.74,-16946293.88
213.7,-18445535.76,-18335988.6,-18022513.26,-18356293.68,-17583923.53,-17464349.17,-17318679.02,-17465602.57,-17267440.03,-17508343.51,-17307448.56,-16671899.56,-16228496.77,-17008512.66
213.6,-18422824.15,-18314856.28,-18081874.28,-18348873.55,-17572868.54,-17489517.44,-17345476.72,-17485932.72,-17266838.4,-17522231.18,-17298724.9,-16614794.65,-16208743.19,-17068525.45
213.5,-18407958.83,-18299715.2,-18141887.08,-18338796.22,-17549028.88,-17529425.7,-17380772.46,-17508218.17,-17269520.68,-17541132.46,-17286617.05,-16568669.53,-16208016.22,-17119538.83
213.4,-18382564.94,-18295754.46,-18190268.32,-18327615.89,-17533536.85,-17557401.59,-17396565.3,-17532433.86,-17275010.57,-17558404.31,-17283608.89,-16519761.86,-16221803.62,-17163984.4
213.3,-18354062.63,-18307862.3,-18225363.52,-18316911.85,-17517593.6,-17594752.91,-17420329.76,-17553114.96,-17280650.87,-17581742.62,-17286792.53,-16462832.44,-16253690.11,-17169198.54
213.2,-18330949.93,-18329846.94,-18254768.28,-18319669.33,-17504683.58,-17635087.32,-17457656.02,-17571038.58,-17273356.08,-17608013.88,-17281703.72,-16410340.04,-16310594.47,-17152879.27
213.1,-18313226.86,-18354940.01,-18278858.63,-18327540.68,-17504959.33,-17679181.93,-17474326.24,-17593148.56,-17270247.65,-17628193.62,-17274108.12,-16363237.27,-16380032.83,-17135181.26
213,-18321599.57,-18375796.58,-18289011.17,-18347419.61,-17506488.48,-17735183.84,-17492776.28,-17618291.76,-17253000.86,-17630249.2,-17280650.87,-16326287.04,-16462080.4,-17124853.25
212.9,-18335311.76,-18379180.76,-18305731.52,-18354388.51,-17509571.84,-17782361.82,-17513958.74,-17634235.01,-17240692.48,-17653988.59,-17294463.34,-16312775.39,-16554531.18,-17128287.56
212.8,-18347820.7,-18379030.36,-18308238.32,-18361257.14,-17522707.48,-17825378.51,-17543463.78,-17638095.48,-17226980.28,-17664642.49,-17307974.99,-16307460.97,-16635977.11,-17129666.3
212.7,-18367975.37,-18373064.17,-18309291.18,-18379732.26,-17533662.19,-17871403.36,-17578433.64,-17636842.08,-17229637.49,-17659528.62,-17322188.54,-16320972.62,-16729305.28,-17126808.55
212.6,-18393569.8,-18376924.64,-18312850.84,-18395700.58,-17548552.58,-17901911.11,-17604454.22,-17645064.38,-17236832,-17648122.68,-17341440.77,-16347895.66,-16812380.63,-17115051.66
212.5,-18404173.56,-18389960,-18330122.69,-18403296.18,-17542435.99,-17929109.89,-17624709.17,-17647571.18,-17249240.66,-17641379.39,-17343120.32,-16386074.22,-16904605.8,-17100787.97
212.4,-18408008.96,-18416908.1,-18339297.58,-18393695.14,-17518395.78,-17959667.78,-17646668.74,-17630725.49,-17274208.39,-17626163.11,-17342042.4,-16444106.64,-17023352.92,-17084067.61
212.3,-18412822.02,-18455161.87,-18350327.5,-18395249.35,-17484403.57,-17981426.81,-17684621.69,-17605707.62,-17303086.73,-17601646.61,-17345426.58,-16497025.19,-17144506.56,-17069703.65
212.2,-18435759.24,-18514823.71,-18367173.19,-18411167.53,-17444395.04,-17999375.5,-17698634.7,-17598212.29,-17333343.8,-17578233.1,-17359264.12,-16554330.64,-17268242.21,-17038493.99
212.1,-18468147.1,-18569923.18,-18399210.1,-18415805.11,-17413436.06,-18009076.81,-17722148.48,-17600969.77,-17347281.61,-17537096.51,-17370845.53,-16625022.4,-17388267.79,-17014729.52
212,-18502866.28,-18612363.3,-18438566.86,-18420242.15,-17387565.89,-18025571.56,-17751603.38,-17614005.13,-17363174.72,-17494129.96,-17377062.4,-16695262.93,-17481445.55,-16992168.32
211.9,-18556486.73,-18645778.94,-18474614.64,-18426433.94,-17368012.85,-18022789.01,-17791887.66,-17646092.17,-17386538.1,-17436699.17,-17381374.09,-16744722.1,-17584349.69,-16981990.72
211.8,-18618830.84,-18654828.49,-18516503.27,-18441600.08,-17368915.3,-18029883.25,-17849569.13,-17697255.96,-17418775.55,-17377538.69,-17396013.8,-16785608,-17670734.02,-16967125.39
211.7,-18693934.57,-18659240.46,-18560372.27,-18470002.13,-17371422.1,-18031412.4,-17905972.13,-17753533.62,-17457681.08,-17326450.1,-17413160.32,-16842261.68,-17747191.42,-16975222.36
211.6,-18760715.72,-18652622.51,-18609305,-18499582.37,-17396540.23,-18041564.94,-17970747.84,-17816755.12,-17518496.05,-17262025.34,-17439456.65,-16902023.8,-17798630.95,-17021172
211.5,-18812080.06,-18643598.03,-18641843.27,-18518934.86,-17429128.63,-18052268.98,-18039985.66,-17874912.88,-17587608.53,-17205045.78,-17457204.79,-16956346.15,-17829715.27,-17095047.4
211.4,-18858957.22,-18635225.32,-18665582.66,-18570850.69,-17478537.66,-18063098.35,-18107368.44,-17937131.65,-17666472.46,-17170928.23,-17483074.97,-17002045.12,-17841722.84,-17177947.27
211.3,-18888261.71,-18625448.8,-18686639.78,-18617828.12,-17538374.98,-18068838.92,-18171066.23,-18004589.64,-17748570.16,-17140721.29,-17505084.67,-17036689.09,-17845934.27,-17249541.48
211.2,-18939776.45,-18615772.55,-18703610.82,-18689422.33,-17602749.6,-18078665.58,-18235014.7,-18070869.43,-17836383.36,-17106979.76,-17526843.7,-17088304.1,-17856111.88,-17325998.88
211.1,-18997207.24,-18606346.98,-18706042.42,-18755275.97,-17686777.54,-18096539.06,-18314806.14,-18157003.08,-17918105.04,-17088128.63,-17566275.66,-17135030.86,-17871528.7,-17405138.56
211,-19051228.78,-18594715.43,-18698421.74,-18824639.12,-17786422.84,-18103583.17,-18391940.38,-18249504,-18004915.52,-17093794,-17606710.34,-17174212.14,-17902312.2,-17502628.01
210.9,-19100763.14,-18586718.74,-18686564.58,-18884777.26,-17884087.76,-18137424.97,-18484391.16,-18341528.63,-18077763.13,-17108809.73,-17656946.62,-17221640.8,-17943448.79,-17586681.01
210.8,-19163558.48,-18573106.81,-18671849.66,-18955193.27,-18011007.05,-18174876.56,-18568594.57,-18422372.93,-18132561.78,-17147790.47,-17703422.69,-17283809.44,-17977766.88,-17679658.22
210.7,-19234927.08,-18550445.34,-18652246.49,-19029745.5,-18151187.3,-18219397.33,-18639562.08,-18503342.57,-18186583.32,-17176418.12,-17754461.14,-17346078.35,-17980023,-17778451.21
210.6,-19293861.95,-18524149.01,-18644851.43,-19107631.78,-18296732.11,-18281014.48,-18712911.05,-18569121,-18216765.19,-17229111.06,-17816880.46,-17411205.01,-17976964.7,-17895042.48
210.5,-19321537.02,-18503392.7,-18623418.29,-19183186.73,-18444332.5,-18319193.04,-18797039.26,-18608603.1,-18276326.76,-17309228.39,-17873885.09,-17460664.18,-17974382.7,-18030384.61
210.4,-19357334.12,-18504570.9,-18606321.91,-19260371.1,-18589200.47,-18362159.59,-18877231.79,-18646180.03,-18333782.62,-17385861.26,-17930363.29,-17514785.99,-17975235.01,-18141962.28
210.3,-19384908.92,-18524499.96,-18629083.66,-19336126.6,-18717623.83,-18396628.09,-18933484.38,-18671172.83,-18398107.1,-17475830.32,-18011708.95,-17581567.14,-18003235.97,-18247774.31
210.2,-19392930.68,-18578571.64,-18675359.18,-19382502.4,-18830805.85,-18442803.35,-18975423.14,-18680297.58,-18444382.63,-17574798.78,-18100775.56,-17649526.49,-18015669.7,-18329395.72
210.1,-19377639.2,-18665306.92,-18747504.89,-19417296.78,-18915585.83,-18495070.13,-19017111.23,-18682528.63,-18484290.89,-17682515.98,-18177533.77,-17720393.72,-18040812.9,-18388882.08
210,-19367261.05,-18763347.86,-18834014.56,-19447754.4,-18985049.26,-18553804.45,-19052030.95,-18670821.88,-18522469.45,-17799809.15,-18260483.78,-17800786.8,-18076409.46,-18427787.62
209.9,-19375734.04,-18869937,-18945491.95,-19464173.94,-19052081.09,-18605218.92,-19066369.85,-18670596.26,-18553252.96,-17909581.92,-18331250.75,-17877344.47,-18125743.28,-18408460.19
209.8,-19409124.61,-19002371.24,-19082112.55,-19465552.68,-19121018.09,-18670019.7,-19061030.36,-18687592.37,-18567115.56,-18006419.6,-18406655.29,-17960770.78,-18185329.92,-18363112.18
209.7,-19450787.63,-19123224.07,-19253452.33,-19444069.4,-19201235.69,-18734018.3,-19088078.74,-18699474.6,-18597397.7,-18085032.85,-18483939.94,-18029156.28,-18254091.44,-18309165.84
209.6,-19496561.8,-19245255.1,-19429605.17,-19433390.44,-19269169.97,-18808044.11,-19113748.37,-18724191.65,-18622415.57,-18160236.85,-18538011.61,-18092503.12,-18310043.22,-18229399.46
209.5,-19545594.8,-19366458.88,-19614105.65,-19442339.71,-19325848.72,-18862040.58,-19129816.96,-18753571.34,-18642495.04,-18213481.28,-18578671.91,-18141937.21,-18396001.39,-18135369.4
209.4,-19579963.03,-19489668.1,-19817081.24,-19435195.33,-19371196.73,-18913104.1,-19129967.36,-18767158.2,-18676587.52,-18253640.22,-18628181.21,-18203604.49,-18482385.72,-18047280.44
209.3,-19603100.8,-19627166.08,-20014241.06,-19444821.44,-19410453.22,-18955343.68,-19127911.79,-18774653.53,-18713236.93,-18284198.11,-18659666.62,-18255394.98,-18555258.4,-17960244.35
209.2,-19626163.36,-19755940.39,-20214108.23,-19488088.81,-19447879.74,-19003624.64,-19135281.78,-18815589.58,-18751565.9,-18307160.4,-18680422.92,-18284950.15,-18622014.48,-17897198.33
209.1,-19650905.47,-19881405.73,-20401516.6,-19548552.83,-19480643.62,-19044711.1,-19132524.3,-18872644.34,-18776408.29,-18341653.97,-18680097.04,-18319318.38,-18706067.48,-17836684.18
209,-19678831.22,-19997194.82,-20574134.84,-19624709.41,-19516215.11,-19075645.01,-19111592.52,-18944965.52,-18806565.1,-18378077.77,-18689698.08,-18363463.13,-18809347.64,-17772735.71
208.9,-19724003.76,-20080696.33,-20741614.15,-19691440.43,-19546296.71,-19096100.5,-19109236.13,-19034558.56,-18844568.18,-18403220.98,-18688018.52,-18424253.03,-18931478.94,-17708185.61
208.8,-19784442.71,-20123337,-20890493,-19782587.68,-19556123.36,-19109963.1,-19098080.87,-19103470.49,-18870162.61,-18422874.29,-18677665.44,-18475592.29,-19056467.99,-17658475.76
208.7,-19813621.86,-20157078.53,-21000215.64,-19860849.97,-19578734.7,-19138014.19,-19110088.44,-19174814.02,-18891345.07,-18438667.13,-18674506.87,-18516503.27,-19169725.21,-17626012.7
208.6,-19850095.8,-20164323.18,-21074667.6,-19949891.51,-19607437.56,-19179426.53,-19114224.66,-19231041.54,-18923457.18,-18464787.98,-18670370.65,-18548790.85,-19286792.77,-17639098.2
208.5,-19872807.41,-20140333.1,-21113297.39,-20047355.89,-19635964.94,-19206149.02,-19114776.16,-19265108.95,-18938046.76,-18470929.64,-18652421.96,-18601734.47,-19369767.85,-17666522.59
208.4,-19903766.39,-20085459.25,-21147214.39,-20158031.11,-19674745.14,-19217404.55,-19086700,-19286867.98,-18940854.37,-18460902.44,-18622916.93,-18653750.57,-19421357.8,-17725658
208.3,-19942972.74,-20017550.04,-21145810.58,-20274321.56,-19688206.66,-19237860.04,-19071784.54,-19303738.74,-18942433.66,-18416156.06,-18607249.43,-18704814.08,-19461190.85,-17792414.09
208.2,-19942947.67,-19915648.62,-21137638.42,-20398483.37,-19692367.94,-19248639.28,-19063060.87,-19307849.89,-18952134.97,-18387202.52,-18588222.82,-18744120.71,-19512154.09,-17883385.86
