WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,Bcoh 85ME,Bcoh90ME
231.5,-8037978.996,-7979094.264,-8050011.636,-8028703.836,-7892008.032,-7852400.592,-7933796.388,-8069063.316,-8080795.14,-8007270.696,-7977690.456,-7944926.58,-8260382.292,-8102253.348
231.4,-8127672.3,-8065503.66,-8141133.816,-8110776.468,-7992756.324,-7936629.072,-8029756.692,-8125716.996,-8167329.876,-8086736.256,-8040260.184,-8031686.928,-8337165.576,-8171441.028
231.3,-8225913.792,-8154871.08,-8238197.112,-8202224.532,-8095384.716,-8028327.816,-8127672.3,-8178986.496,-8255920.188,-8161664.508,-8098493.148,-8121505.572,-8409637.164,-8235640.176
231.2,-8325408.684,-8248550.196,-8337391.188,-8297934.156,-8198138.448,-8121655.98,-8228144.844,-8238347.52,-8347167.708,-8238046.704,-8151311.424,-8209494.252,-8476869.54,-8301192.996
231.1,-8421544.464,-8341853.292,-8444381.412,-8400512.412,-8296254.6,-8219847.336,-8335059.864,-8301468.744,-8440119.852,-8314178.22,-8209719.864,-8296906.368,-8540818.008,-8359776.912
231,-8524799.556,-8438314.956,-8560722,-8503541.892,-8395423.608,-8318314.44,-8439693.696,-8368249.896,-8535227.844,-8394571.296,-8269732.656,-8379981.72,-8605844.4,-8417057.292
230.9,-8628430.668,-8536280.7,-8684658.192,-8614492.86,-8495971.356,-8424753.168,-8550544.392,-8436284.448,-8630160.36,-8469725.16,-8338218.432,-8456714.868,-8667912.768,-8474964.372
230.8,-8734994.736,-8640789.192,-8808368.772,-8728552.26,-8595716.928,-8536932.468,-8661069.204,-8510410.524,-8727273.792,-8541369.504,-8416104.708,-8535277.98,-8734518.444,-8533297.608
230.7,-8845394.208,-8746651.356,-8937268.428,-8844015.468,-8694860.868,-8651819.112,-8766630.552,-8581453.236,-8821103.316,-8614192.044,-8505597.468,-8611986.06,-8803129.56,-8598599.748
230.6,-8961910.272,-8859682.968,-9063034.584,-8959403.472,-8792475.66,-8767833.816,-8872091.628,-8654050.164,-8909618.424,-8690123.016,-8603588.28,-8686312.68,-8873996.796,-8662773.828
