WL,MEA25,MEA30,MEA35,MEA40,MEA45,MEA50,MEA55,MEA60,MEA65,MEA70,MEA75,MEA80,MEA85,MEA90
250,25751.29697,-121532.8199,-38594.0093,-29550.39787,-19352.11052,-196336.6987,-202192.1699,-196179.4808,-122204.0806,-111545.105,-132806.7364,-182295.1501,-221912.0708,-231052.6001
249.9,23797.21778,-118026.6617,-34368.82799,-36852.6718,-19557.34953,-196548.4453,-209639.1241,-202570.2889,-114005.2666,-123621.6288,-126800.2166,-187651.7033,-224702.191,-232911.3535
249.8,21545.02161,-113150.1207,-31365.36907,-44972.47881,-20560.71815,-194624.4166,-218526.9107,-208088.8362,-107165.2929,-137885.8696,-119789.4923,-194259.6313,-225760.9242,-234664.6316
249.7,16455.18165,-110864.2918,-28755.55193,-55080.19671,-21819.05838,-192700.1889,-224144.963,-211720.7687,-100563.3352,-151433.2763,-114356.9173,-201714.5459,-227257.4794,-237725.4054
249.6,9211.715177,-107493.6594,-29842.94257,-66593.72125,-24851.77177,-192851.2375,-230875.4812,-215129.81,-93974.31309,-167216.7594,-108413.2846,-208439.0938,-229325.1933,-240075.7135
249.5,905.7920249,-104698.962,-35343.77798,-78678.40449,-27608.45829,-193648.2726,-239729.4361,-219611.5152,-90132.22603,-185685.6835,-104158.4508,-216709.9494,-231349.125,-241852.8728
249.4,-7139.563354,-103045.5869,-38747.04799,-90153.71911,-27364.47203,-194092.6619,-247134.5982,-224353.9235,-89334.19593,-203262.8437,-100376.6638,-227963.9649,-236435.8206,-241727.4965
249.3,-18667.0385,-97942.97051,-44846.30647,-100133.2746,-28458.03198,-194796.7593,-256665.1871,-229794.8569,-89078.07006,-219902.0698,-98581.5936,-240254.8225,-241683.7143,-243838.9926
249.2,-28821.42424,-93333.50089,-52143.00812,-110231.44,-28233.74771,-196423.069,-267513.2222,-233126.2843,-90831.94519,-235671.6222,-100256.2628,-255224.3547,-246434.083,-246601.2514
249.1,-40872.87281,-88803.83428,-60870.19365,-119281.4197,-29088.29665,-196431.0294,-278826.9407,-239627.941,-91153.34634,-249451.0746,-106433.9312,-270595.8871,-252342.6899,-248320.6978
249,-51119.6987,-83924.90512,-69777.08521,-127332.3693,-29052.67386,-196717.0068,-288590.3713,-249285.8963,-93794.80607,-262498.1702,-117141.8632,-283911.6462,-260416.5256,-250290.8968
248.9,-63681.60792,-78409.34297,-80676.06687,-135028.086,-32125.38826,-198785.3177,-297866.2274,-257843.3263,-101078.1741,-273129.2844,-132417.8708,-297189.5934,-269931.1937,-256088.0581
248.8,-77252.29883,-72652.97872,-93545.64555,-142154.0371,-36619.8301,-202331.4769,-306282.3603,-266014.6769,-111009.9671,-282397.1801,-150553.4531,-308557.0446,-281563.3282,-262615.5861
248.7,-90005.05864,-68820.04612,-107555.9496,-148087.9182,-42638.68854,-206445.0136,-312604.908,-273119.3339,-122347.7658,-289020.2329,-168860.383,-319526.4758,-294574.602,-269927.2135
