WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,BCoh85ME,BCoh90ME
250,-132245.7326,34160.66496,-263309.2584,-95601.07956,-147635.7299,51629.80212,-78528.0168,51308.68104,-149754.4772,-152357.037,-114304.0637,-162864.0385,-39630.25188,-244979.2861
249.9,-129499.5332,35225.5536,-252763.1508,-93569.31816,-148539.682,48499.0596,-81117.79188,50135.49864,-144398.1977,-145971.716,-128410.3286,-179397.8886,-44712.5382,-242678.0437
249.8,-125784.4556,37117.43556,-241217.8327,-92562.08592,-152077.0274,44814.81564,-85722.5328,47246.16096,-141144.622,-142415.5696,-139709.2283,-197817.103,-51147.99516,-240126.1213
249.7,-124246.0325,38290.61796,-224089.119,-93890.18856,-153901.4765,40476.29688,-91868.95572,40992.69768,-141329.1224,-140638.2484,-144472.6496,-214014.7912,-55451.6694,-240022.8412
249.6,-121608.3775,39687.6576,-206057.9573,-96080.88108,-151190.623,35163.38496,-97276.12332,33956.36076,-146099.3122,-140873.1355,-148110.7685,-232442.5286,-63522.56268,-240111.3312
249.5,-119105.087,39527.97444,-189477.4807,-98514.98388,-147303.0775,28932.98424,-99939.09696,27946.55844,-151302.6769,-144993.312,-148925.9798,-249830.1948,-74961.09108,-238493.4425
249.4,-116791.06,36766.98492,-174727.2188,-99624.74424,-145360.3075,23172.25757,-100190.0276,20320.6723,-159530.9972,-150926.9076,-150051.7837,-267217.3596,-90792.78648,-238786.4874
249.3,-115350.9034,32981.71692,-161170.9458,-102836.7071,-146127.3883,16390.11017,-100536.9688,9961.571976,-171963.7225,-156221.2692,-152890.7347,-282967.584,-111151.0106,-240850.3358
249.2,-113846.322,24865.72631,-147678.5962,-107473.535,-149933.9641,10352.85839,-99853.3644,-956.682618,-182886.8528,-164585.4581,-157164.0767,-295654.4988,-134258.4424,-242153.3705
249.1,-109491.7597,14067.15888,-132440.7617,-114573.0433,-150951.2236,2544.101184,-98958.18612,-10443.35387,-197798.8033,-175809.1537,-158778.9572,-305774.4504,-161113.7908,-244490.4601
249,-108196.9975,-2649.637464,-119870.6638,-121591.3313,-151860.1892,-5072.660208,-99922.55208,-17552.16238,-215525.1382,-188896.4045,-158652.1132,-311913.6036,-189216.2722,-244045.5031
248.9,-106721.2444,-24395.37542,-107297.0563,-126278.7966,-152338.236,-16187.15964,-101783.6004,-27895.16904,-235070.9084,-203152.5761,-156909.1351,-315157.4028,-216837.9493,-242604.8452
248.8,-106706.7049,-48377.98116,-96843.70032,-130725.3584,-150559.4107,-26308.866,-105351.5288,-39651.05832,-254941.56,-219641.8051,-153389.8386,-313926.564,-245030.1742,-240951.3599
248.7,-105468.3457,-73484.3352,-87902.94744,-136139.7958,-150672.7181,-38933.1108,-108891.3811,-51629.30076,-275532.4152,-234770.0924,-146828.5403,-310652.6832,-272649.5952,-238820.8306
248.6,-101621.4104,-95897.88468,-82756.9884,-142933.4744,-148624.4118,-55907.40564,-112690.1858,-62600.06028,-292325.4684,-254144.3976,-138654.3668,-304922.1384,-297740.1564,-241042.3567
248.5,-96627.86484,-116085.3958,-75532.3908,-154517.6479,-147383.2951,-76422.05412,-120342.9449,-72759.11796,-310544.8908,-273755.094,-131080.572,-296135.8044,-319807.5168,-249057.8497
248.4,-91600.9788,-130184.8924,-71669.412,-161011.5133,-149554.1839,-98434.26492,-128905.4216,-80941.06248,-326360.292,-293165.2464,-125027.1514,-287437.2084,-339809.274,-257643.8904
248.3,-89563.70244,-144077.8286,-70448.09904,-166849.8505,-154800.1643,-121272.9677,-131673.9316,-88045.33368,-339939.6276,-310895.8428,-129155.3496,-282323.3364,-359297.1372,-270511.2948
248.2,-87419.13504,-156388.7234,-68129.55972,-173022.3442,-160689.1388,-142996.8965,-134570.0376,-95856.77316,-353270.79,-327566.0628,-137900.5721,-274399.3416,-377559.1752,-282391.02
248.1,-85680.91992,-165499.688,-66871.89816,-179004.0703,-168354.6826,-170040.5056,-138294.641,-99659.83944,-361959.3588,-342900.1584,-152664.12,-266242.2144,-395322.36,-291954.462
248,-86969.6658,-169110.2321,-65963.43384,-181984.1542,-179846.1044,-198404.6969,-141046.1047,-104173.5835,-365536.5624,-355368.9816,-172951.6524,-262068.3924,-413356.2792,-298434.54
247.9,-91494.18912,-171669.1735,-67108.2894,-188347.4153,-187572.5634,-226081.7743,-141313.5803,-108623.9056,-361696.1448,-363591.2856,-193959.6391,-261188.5056,-427040.9004,-303784.0512
247.8,-93572.577,-173979.1897,-66770.12208,-193004.799,-197300.9528,-251730.3492,-140330.1626,-110727.1108,-356203.746,-368873.1132,-218100.6245,-266024.1228,-436418.8392,-307940.3256
247.7,-99313.149,-172615.2398,-66580.85868,-198491.1815,-206268.7792,-276765.7608,-140649.0276,-113812.9816,-343787.5656,-371966.5044,-243278.673,-272408.9424,-443585.7804,-311522.5428
247.6,-105580.901,-170046.0205,-66109.07892,-204528.5586,-213815.5006,-300971.4216,-142804.3742,-117267.1013,-332291.3808,-376105.2312,-263246.5884,-283123.0056,-446483.6412,-315240.1272
247.5,-116248.0871,-164750.9069,-66444.23808,-208602.3593,-221118.0596,-319757.3808,-145181.5727,-121511.1137,-318338.532,-382028.7996,-278187.1164,-294726.9828,-446478.6276,-320805.2232
247.4,-126976.439,-154384.2862,-68733.9492,-213409.399,-233592.6485,-336465.2028,-146841.8263,-129485.7458,-306127.9092,-390188.4336,-294122.844,-307057.932,-442209.5472,-326132.1732
247.3,-139769.1408,-143598.2778,-69215.50548,-219661.6088,-241763.3124,-349688.5728,-145331.2286,-140550.009,-294566.5476,-396570.7464,-310053.558,-319985.4996,-435431.16,-335948.802
247.2,-151461.8587,-128755.0136,-75214.77924,-229316.2984,-247325.1496,-355739.988,-138299.1533,-150162.835,-282132.8196,-404925.9108,-328478.538,-336146.8392,-435970.122,-346098.8352
247.1,-167214.5899,-113648.7862,-82148.08668,-241996.6955,-255267.444,-357848.2068,-130756.9441,-159322.1808,-266289.8436,-414664.8288,-349147.104,-352115.1552,-436829.9544,-355679.8248
247,-187384.052,-100460.5114,-90517.03848,-255768.804,-265901.2896,-353523.9768,-122937.7336,-172183.0675,-254154.4248,-424316.0088,-374034.6144,-367421.676,-441720.7212,-367351.4856
246.9,-210627.1016,-88014.24936,-98758.39416,-272907.7956,-276961.2912,-346768.1508,-117423.5256,-185167.0381,-244522.0458,-434112.5832,-398856.948,-380464.5564,-449664.7704,-382254.4116
246.8,-234356.4704,-81444.17724,-107508.8809,-287763.0924,-285080.8164,-334926.0276,-114056.8932,-198538.56,-232998.2862,-445957.2132,-421205.07,-395868.8424,-458413.5024,-396691.0728
246.7,-256458.174,-78456.82368,-118354.8018,-304140.0168,-288743.2512,-320216.1252,-114095.7486,-211886.2673,-227169.4748,-457686.5304,-439319.2068,-411097.6524,-464098.9248,-413840.0916
246.6,-280631.2464,-82133.29656,-132656.8478,-318353.5728,-292287.8664,-302011.7436,-119495.8972,-227804.4473,-221446.1998,-470195.4624,-455400.3288,-424193.1756,-465846.1644,-432252.5376
246.5,-302470.488,-86675.36748,-147162.1954,-331198.416,-293834.562,-282814.6692,-127583.3353,-248705.895,-216130.781,-481576.3344,-467981.958,-437654.6916,-466528.014,-451035.99
246.4,-323429.8428,-89773.5216,-164240.2717,-345045.9792,-292683.9408,-259666.878,-137842.4143,-269541.1632,-213727.0105,-493476.114,-476354.67,-453317.178,-469175.1948,-471107.9376
246.3,-340749.324,-93661.06704,-182686.5595,-359653.1028,-295476.516,-240698.6744,-148021.5264,-291786.5064,-216999.1366,-498625.0812,-482310.8268,-468819.2292,-473757.6252,-494428.698
246.2,-356702.5992,-98214.41856,-202567.489,-370444.8768,-296373.9504,-222601.8346,-160498.1207,-311121.4548,-221584.5751,-506604.2256,-487740.5556,-479330.2416,-482749.5168,-522720.4428
246.1,-371856.2052,-102485.5044,-222092.7035,-379000.5852,-297394.218,-205356.304,-174399.0787,-332993.2848,-231350.5666,-512038.968,-493488.648,-485554.626,-492984.7812,-551027.2284
246,-385197.3948,-107954.59,-244724.5952,-385964.4756,-295960.3284,-191300.927,-188642.7163,-356672.5176,-242347.3968,-517255.6188,-503641.188,-493766.9028,-506335.998,-575989.9428
245.9,-395512.8768,-116694.5482,-266685.918,-393131.4168,-294195.5412,-179137.1814,-206190.567,-380472.0768,-253908.7584,-516927.228,-518170.6008,-502302.5568,-522264.2052,-604705.3368
245.8,-402401.5632,-125454.0594,-284692.2624,-399155.2572,-290167.1136,-172006.8395,-227888.9264,-403409.2968,-269882.088,-513495.4188,-530243.3496,-507757.3536,-535720.7076,-629978.8944
245.7,-410202.7248,-135514.8505,-301237.1424,-404035.9968,-284850.1908,-166387.0952,-248084.2086,-421450.7364,-285872.9652,-513846.3708,-544878.048,-516395.7864,-549881.6208,-653219.4372
245.6,-418372.386,-142746.2165,-318734.6064,-407472.8196,-279427.9824,-159710.7348,-270238.0536,-441134.13,-304430.8056,-509780.3412,-558860.9784,-527606.196,-565163.0736,-677638.176
245.5,-425617.038,-153355.7461,-333449.5224,-411375.9072,-275387.0208,-157900.5745,-292907.046,-462629.94,-324931.416,-505904.8284,-574195.074,-540591.42,-575410.872,-700472.6172
245.4,-424499.0052,-166341.9728,-349590.8076,-409784.0892,-274045.8828,-154823.4775,-313741.0608,-482220.582,-349152.1176,-504152.5752,-589173.204,-554484.1056,-584803.8516,-724788.5772
245.3,-420397.8804,-177612.5456,-365564.1372,-407084.2656,-276547.6692,-157964.4979,-336670.7604,-503217.5388,-368504.6136,-500317.1712,-602256.1932,-568156.1928,-592091.1192,-746246.7852
245.2,-417432.336,-191681.4593,-381239.1576,-405181.6044,-280305.3624,-166111.5979,-357025.9764,-526518.2448,-389917.6992,-498103.6668,-617241.8436,-585287.664,-596284.9956,-763756.7832
245.1,-413619.4932,-206521.7153,-395580.5604,-404524.8228,-290633.3784,-177259.5882,-376814.6556,-550706.358,-413240.9664,-497474.46,-633796.7508,-600854.892,-603853.0248,-779617.3068
245,-407924.0436,-218875.4764,-405194.1384,-407061.7044,-301129.35,-189380.7182,-392772.9444,-576170.4324,-439246.5096,-495584.3328,-650624.8992,-618309.7404,-610180.188,-790825.2096
244.9,-402602.1072,-231360.8444,-412022.6616,-412684.4568,-310795.5708,-204603.0106,-406249.5012,-601842.5712,-464239.3056,-492172.578,-665114.2032,-636341.1528,-622280.5116,-800581.6752
244.8,-400168.0044,-243896.5992,-417763.2336,-422200.2696,-320988.2196,-220254.9684,-417139.0404,-625158.318,-490084.4136,-493671.6444,-679520.7828,-652953.7164,-637110.7404,-808738.8024
244.7,-400734.5412,-260178.2652,-421340.4372,-430964.0424,-332689.962,-240766.1074,-427905.7464,-644094.6852,-517370.9316,-498690.258,-697993.392,-666515.5044,-654477.8508,-813596.9808
244.6,-402807.6648,-281626.446,-423839.7168,-441763.3368,-348197.0268,-263183.9184,-437840.1948,-662497.104,-543108.2472,-508090.758,-715821.7536,-678969.2868,-672772.4772,-817718.16
244.5,-405146.5092,-308035.584,-425476.6572,-453349.7664,-366576.8844,-285860.4312,-448423.9044,-679235.0076,-567351.51,-519351.3036,-733534.8024,-694534.008,-689698.3908,-825978.066
244.4,-406174.2972,-338089.6092,-424080.3696,-468450.7296,-385889.2716,-307010.3028,-463021.0008,-699417.2544,-585137.256,-532760.1768,-750944.5284,-712938.9336,-703937.0148,-830994.1728
244.3,-408886.6548,-368940.7968,-421257.7128,-485248.7964,-406773.4224,-330544.1412,-476963.8224,-713332.5012,-601138.1604,-547911.276,-766346.3076,-731694.8112,-713751.1368,-836950.3296
244.2,-414745.0464,-397974.5544,-417755.7132,-502355.1996,-427296.594,-356983.3608,-492242.7684,-729538.9632,-617845.9824,-562876.872,-776273.2356,-747109.1244,-725728.6272,-841811.0148
